Label,WHO Location,Normalized Who Location,What Changed
LU 11,"On the thumb, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the thumb nail, at the intersection of the vertical line of the radial border and the horizontal line of the base of the thumb nail.","On the thumb, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the thumb nail, at the intersection of the vertical line of the radial border and the horizontal line of the base of the thumb nail.",No changes needed.
,,,
LI 1,"On the index finger, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the index fingernail, at the intersection of the vertical line of the radial border of the fingernail and the horizontal line of the base of the index fingernail.","On the index finger, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the index fingernail, at the intersection of the vertical line of the radial border of the fingernail and the horizontal line of the base of the index fingernail.",No changes needed.
LI 2,"On the index finger, in the depression distal to the radial side of the second metacarpophalangeal joint, at the border between the red and white flesh.","On the index finger, in the depression distal to the radial side of the second metacarpophalangeal joint, at the border between the red and white flesh.",No changes needed.
LI 3,"On the dorsum of the hand, in the depression radial and proximal to the second metacarpophalangeal joint.","On the dorsum of the hand, in the depression radial and proximal to the second metacarpophalangeal joint.",No changes needed.
LI 4,"On the dorsum of the hand, radial to the midpoint of the second metacarpal bone.","On the dorsum of the hand, radial to the midpoint of the second metacarpal bone.",No changes needed.
LI 5,"On the posterolateral aspect of the wrist, at the radial side of the dorsal wrist crease, distal to the radial styloid process, in the depression of the anatomical snuffbox. Note : The depression of the anatomical snuffbox is formed when the thumb is fully abducted and extended between the tendons of the extensor pollicis longus and the extensor pollicis brevis.","On the posterolateral aspect of the wrist, at the radial side of the dorsal wrist crease, distal to the radial styloid process, in the depression of the anatomical snuffbox.
- Note: The depression of the anatomical snuffbox is formed when the thumb is fully abducted and extended between the tendons of the extensor pollicis longus and the extensor pollicis brevis.",normalized spacing in 'Note' label; moved 'Note' to a new line prefixed with '- '.
LI 6,"On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 3 B- cun superior to the dorsal wrist crease. Note: LI6 is located at the junction of the upper three fourths and the lower one fourth of the line connecting LI5 with LI11.","On the posterolateral aspect of the forearm, on the line connecting LI 5 with LI 11, 3 B-cun superior to the dorsal wrist crease.
- Note: LI 6 is located at the junction of the upper three fourths and the lower one fourth of the line connecting LI 5 with LI 11.",closed the erroneous space in 'B- cun' to 'B-cun'; normalized acupoint code 'LI5' to 'LI 5'; normalized acupoint code 'LI11' to 'LI 11'; normalized acupoint code 'LI6' to 'LI 6'; moved 'Note' to a new line prefixed with '- '.
LI 7,"On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 5 B- cun superior to the dorsal wrist crease.","On the posterolateral aspect of the forearm, on the line connecting LI 5 with LI 11, 5 B-cun superior to the dorsal wrist crease.",closed the erroneous space in 'B- cun' to 'B-cun'; normalized acupoint code 'LI5' to 'LI 5'; normalized acupoint code 'LI11' to 'LI 11'.
LI 8,"On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 4 B- cun inferior to the cubital crease. Note: LI8 is located at the junction of the upper one third and lower two thirds of the line connecting LI5 with LI11, 1 B-cun inferior to LI9.","On the posterolateral aspect of the forearm, on the line connecting LI 5 with LI 11, 4 B-cun inferior to the cubital crease.
- Note: LI 8 is located at the junction of the upper one third and lower two thirds of the line connecting LI 5 with LI 11, 1 B-cun inferior to LI 9.",closed the erroneous space in 'B- cun' to 'B-cun'; normalized acupoint code 'LI5' to 'LI 5'; normalized acupoint code 'LI11' to 'LI 11'; normalized acupoint code 'LI8' to 'LI 8'; normalized acupoint code 'LI9' to 'LI 9'; moved 'Note' to a new line prefixed with '- '.
LI 9,"On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 3 B- cun inferior to the cubital crease.","On the posterolateral aspect of the forearm, on the line connecting LI 5 with LI 11, 3 B-cun inferior to the cubital crease.",closed the erroneous space in 'B- cun' to 'B-cun'; normalized acupoint code 'LI5' to 'LI 5'; normalized acupoint code 'LI11' to 'LI 11'.
LI 10,"On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 2 B- cun inferior to the cubital crease.","On the posterolateral aspect of the forearm, on the line connecting LI 5 with LI 11, 2 B-cun inferior to the cubital crease.",closed the erroneous space in 'B- cun' to 'B-cun'; normalized acupoint code 'LI5' to 'LI 5'; normalized acupoint code 'LI11' to 'LI 11'.
LI 11,"On the lateral aspect of the elbow, at the midpoint of the line connecting LU5 with the lateral epicondyle of the humerus. Note: When the elbow is fully flexed, LI11 is located in the depression on the lateral end of the cubital crease.","On the lateral aspect of the elbow, at the midpoint of the line connecting LU 5 with the lateral epicondyle of the humerus.
- Note: When the elbow is fully flexed, LI 11 is located in the depression on the lateral end of the cubital crease.",normalized acupoint code 'LU5' to 'LU 5'; normalized acupoint code 'LI11' to 'LI 11'; moved 'Note' to a new line prefixed with '- '.
LI 12,"On the posterolateral aspect of the elbow, superior to the lateral epicondyle of the humerus, anterior to the lateral supraepicondylar ridge.","On the posterolateral aspect of the elbow, superior to the lateral epicondyle of the humerus, anterior to the lateral supraepicondylar ridge.",No changes needed.
LI 13,"On the lateral aspect of the arm, on the line connecting LI11 with LI15, 3 B-cun supe- rior to the cubital crease.","On the lateral aspect of the arm, on the line connecting LI 11 with LI 15, 3 B-cun superior to the cubital crease.",rejoined split word 'supe- rior' into 'superior'; normalized acupoint code 'LI11' to 'LI 11'; normalized acupoint code 'LI15' to 'LI 15'.
LI 14,"On the lateral aspect of the arm, just anterior to the border of the deltoid muscle, 7 B-cun superior to LI11.","On the lateral aspect of the arm, just anterior to the border of the deltoid muscle, 7 B-cun superior to LI 11.",normalized acupoint code 'LI11' to 'LI 11'.
LI 15,"On the shoulder girdle, in the depression between the anterior end of lateral border of the acromion and the greater tubercle of the humerus. Note: When the arm is abducted, two depressions appear, anterior and posterior to the acromion. LI15 is located in the deeper depression anterior to the acromion. tE14 is located in the posterior depression.","On the shoulder girdle, in the depression between the anterior end of lateral border of the acromion and the greater tubercle of the humerus.
- Note: When the arm is abducted, two depressions appear, anterior and posterior to the acromion. LI 15 is located in the deeper depression anterior to the acromion. TE 14 is located in the posterior depression.",normalized acupoint code 'LI15' to 'LI 15'; normalized acupoint code 'tE14' to 'TE 14'; moved 'Note' to a new line prefixed with '- '.
LI 16,"On the shoulder girdle, in the depression between the acromial end of the clavicle and the spine of the scapula. Note: In the depression between the two bones lateral to the suprascapular fossa.","On the shoulder girdle, in the depression between the acromial end of the clavicle and the spine of the scapula.
- Note: In the depression between the two bones lateral to the suprascapular fossa.",moved 'Note' to a new line prefixed with '- '.
LI 17,"On the anterior aspect of the neck, at the same level as the cricoid cartilage, just posterior to the border of the sternocleido- mastoid muscle. Note: Directly inferior to LI18, at the same level as St10.","On the anterior aspect of the neck, at the same level as the cricoid cartilage, just posterior to the border of the sternocleidomastoid muscle.
- Note: Directly inferior to LI 18, at the same level as ST 10.",rejoined split word 'sternocleido- mastoid' into 'sternocleidomastoid'; normalized acupoint code 'LI18' to 'LI 18'; normalized acupoint code 'St10' to 'ST 10'; moved 'Note' to a new line prefixed with '- '.
LI 18,"On the anterior aspect of the neck, at the same level as the superior border of the thyroid cartilage, between the anterior and posterior borders of the sternocleidomastoid muscle.","On the anterior aspect of the neck, at the same level as the superior border of the thyroid cartilage, between the anterior and posterior borders of the sternocleidomastoid muscle.",No changes needed.
LI 19,"On the face, at the same level as the midpoint of the philtrum, inferior to the lateral margin of the nostril. Note: 0.5 B-cun laterals to GV 26. Remarks: Alternative location for LI19 - On the face, at the same level as the junc- tion of the upper one third and lower two thirds of the philtrum, inferior to the lateral margin of the nostril.","On the face, at the same level as the midpoint of the philtrum, inferior to the lateral margin of the nostril.
- Note: 0.5 B-cun laterals to GV 26. Remarks: Alternative location for LI 19 - On the face, at the same level as the junction of the upper one third and lower two thirds of the philtrum, inferior to the lateral margin of the nostril.",rejoined split word 'junc- tion' into 'junction'; normalized acupoint code 'LI19' to 'LI 19'; moved 'Note' to a new line prefixed with '- '.
LI 20,"On the face, in the nasolabial sulcus, at the same level as the midpoint of lateral border of the ala of the nose. Remarks: Alternative location for LI20 - On the face, in the nasolabial sulcus, at the level of the inferior border of the ala of the nose.","On the face, in the nasolabial sulcus, at the same level as the midpoint of lateral border of the ala of the nose. Remarks: Alternative location for LI 20 - On the face, in the nasolabial sulcus, at the level of the inferior border of the ala of the nose.",normalized acupoint code 'LI20' to 'LI 20'.
,,,
ST 1,"On the face, between the eyeball and the infraorbital margin, directly inferior to the pupil.","On the face, between the eyeball and the infraorbital margin, directly inferior to the pupil.",No changes needed.
ST 2,"On the face, in the infraorbital foramen.","On the face, in the infraorbital foramen.",No changes needed.
ST 3,"On the face, directly inferior to the pupil, at the same level as the inferior border of the ala of the nose. Note: When looking straight ahead, ST3 is located at the intersection of the vertical line of the pupil and the horizontal line of the inferior border of the ala of the nose.","On the face, directly inferior to the pupil, at the same level as the inferior border of the ala of the nose.
- Note: When looking straight ahead, ST 3 is located at the intersection of the vertical line of the pupil and the horizontal line of the inferior border of the ala of the nose.",normalized acupoint code 'ST3' to 'ST 3'; moved 'Note' to a new line prefixed with '- '.
ST 4,"On the face, 0.4 f-cun lateral to the angle of the mouth. Note: Lateral to the angle of the mouth, the point is located in the nasolabial sulcus or on the continuation of the nasolabial sulcus.","On the face, 0.4 f-cun lateral to the angle of the mouth.
- Note: Lateral to the angle of the mouth, the point is located in the nasolabial sulcus or on the continuation of the nasolabial sulcus.",moved 'Note' to a new line prefixed with '- '.
ST 5,"On the face, anterior to the angle of the mandible, in the depression anterior to the masseter attachment, over the facial artery.","On the face, anterior to the angle of the mandible, in the depression anterior to the masseter attachment, over the facial artery.",No changes needed.
ST 6,"On the face, one fingerbreadth (middle finger) anterosuperior to the angle of the mandible. Note: On the bisector of the angle of the mandible. When the mouth is closed and the teeth are clenched, this point is located at the prominence of the masseter and in the depression felt when the clenched teeth are released.","On the face, one fingerbreadth (middle finger) anterosuperior to the angle of the mandible.
- Note: On the bisector of the angle of the mandible. When the mouth is closed and the teeth are clenched, this point is located at the prominence of the masseter and in the depression felt when the clenched teeth are released.",moved 'Note' to a new line prefixed with '- '.
ST 7,"On the face, in the depression between the midpoint of the inferior border of the zygomatic arch and the mandibular notch. Note: When the mouth is closed, ST7 is located at the depression inferior to the zygomatic arch, directly inferior to gB3.","On the face, in the depression between the midpoint of the inferior border of the zygomatic arch and the mandibular notch.
- Note: When the mouth is closed, ST 7 is located at the depression inferior to the zygomatic arch, directly inferior to GB 3.",normalized acupoint code 'ST7' to 'ST 7'; normalized acupoint code 'gB3' to 'GB 3'; moved 'Note' to a new line prefixed with '- '.
ST 8,"On the head, 0.5 B-cun directly superior to the anterior hairline at the corner of the forehead, 4.5 B-cun lateral to the anterior median line.","On the head, 0.5 B-cun directly superior to the anterior hairline at the corner of the forehead, 4.5 B-cun lateral to the anterior median line.",No changes needed.
ST 9,"In the anterior region of the neck, at the same level as the superior border of the thyroid cartilage, anterior to the sternocleidomastoid muscle, over the common carotid artery. Note 1: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance. Note 2: ST9 is located at the same level as LI18, SI16 and the superior border of the thyroid cartilage. St9 is located anterior to the sternocleidomastoid muscle, and SI16, posterior to the sternocleidomastoid muscle and LI18, between the anterior and posterior borders of the sternocleidomastoid muscle.","In the anterior region of the neck, at the same level as the superior border of the thyroid cartilage, anterior to the sternocleidomastoid muscle, over the common carotid artery.
- Note 1: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance.
- Note 2: ST 9 is located at the same level as LI 18, SI 16 and the superior border of the thyroid cartilage. ST 9 is located anterior to the sternocleidomastoid muscle, and SI 16, posterior to the sternocleidomastoid muscle and LI 18, between the anterior and posterior borders of the sternocleidomastoid muscle.",normalized acupoint code 'ST9' to 'ST 9'; normalized acupoint code 'LI18' to 'LI 18'; normalized acupoint code 'SI16' to 'SI 16'; normalized acupoint code 'St9' to 'ST 9'; moved 'Note' to a new line prefixed with '- '.
ST 10,"In the anterior region of the neck, at the same level as the cricoid cartilage, just anterior to the border of the sternocleidomastoid muscle.","In the anterior region of the neck, at the same level as the cricoid cartilage, just anterior to the border of the sternocleidomastoid muscle.",No changes needed.
ST 11,"In the anterior region of the neck, in the lesser supraclavicular fossa, superior to the sternal end of the clavicle, in the depression between the sternal and clavicular heads of the sternocleidomastoid muscle. Note 1: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance. Note 2: ST11 is located superior to the clavicle, inferior to St9.","In the anterior region of the neck, in the lesser supraclavicular fossa, superior to the sternal end of the clavicle, in the depression between the sternal and clavicular heads of the sternocleidomastoid muscle.
- Note 1: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance.
- Note 2: ST 11 is located superior to the clavicle, inferior to ST 9.",normalized acupoint code 'ST11' to 'ST 11'; normalized acupoint code 'St9' to 'ST 9'; moved 'Note' to a new line prefixed with '- '.
ST 12,"In the anterior region of the neck, in the greater supraclavicular fossa, 4 B-cun lateral to the anterior median line, in the depression superior to the clavicle.","In the anterior region of the neck, in the greater supraclavicular fossa, 4 B-cun lateral to the anterior median line, in the depression superior to the clavicle.",No changes needed.
ST 13,"In the anterior thoracic region, inferior to the clavicle, 4 B-cun lateral to the anterior median line.","In the anterior thoracic region, inferior to the clavicle, 4 B-cun lateral to the anterior median line.",No changes needed.
ST 14,"In the anterior thoracic region, in the first intercostal space, 4 B-cun lateral to the anterior median line.","In the anterior thoracic region, in the first intercostal space, 4 B-cun lateral to the anterior median line.",No changes needed.
ST 15,"In the anterior thoracic region, in the sec- ond intercostal space, 4 B-cun lateral to the anterior median line. Note: The second intercostal space is in- ferior to the second rib which is located at the same level as the sternal angle.","In the anterior thoracic region, in the second intercostal space, 4 B-cun lateral to the anterior median line.
- Note: The second intercostal space is inferior to the second rib which is located at the same level as the sternal angle.",rejoined split word 'in- ferior' into 'inferior'; rejoined split word 'sec- ond' into 'second'; moved 'Note' to a new line prefixed with '- '.
ST 16,"In the anterior thoracic region, in the third intercostal space, 4 B-cun lateral to the anterior median line.","In the anterior thoracic region, in the third intercostal space, 4 B-cun lateral to the anterior median line.",No changes needed.
ST 17,"In the anterior thoracic region, at the centre of the nipple. Note: In males, the centre of the nipple is located in the fourth intercostal space.","In the anterior thoracic region, at the centre of the nipple.
- Note: In males, the centre of the nipple is located in the fourth intercostal space.",moved 'Note' to a new line prefixed with '- '.
ST 17 (Male),"In the anterior thoracic region, at the centre of the nipple. Note: In males, the centre of the nipple is located in the fourth intercostal space.","In the anterior thoracic region, at the centre of the nipple.
- Note: In males, the centre of the nipple is located in the fourth intercostal space.",moved 'Note' to a new line prefixed with '- '.
ST 17 (Female),"In the anterior thoracic region, at the centre of the nipple. Note: In males, the centre of the nipple is located in the fourth intercostal space.","In the anterior thoracic region, at the centre of the nipple.
- Note: In males, the centre of the nipple is located in the fourth intercostal space.",moved 'Note' to a new line prefixed with '- '.
ST 18,"In the anterior thoracic region, in the fifth intercostal space, 4 B-cun lateral to the anterior median line. Note: In males, ST 18 is located at the intersection of nipple line and the fifth intercostal space. In females, ST 18 is located at the midpoint of the inferior crease of the breast.","In the anterior thoracic region, in the fifth intercostal space, 4 B-cun lateral to the anterior median line.
- Note: In males, ST 18 is located at the intersection of nipple line and the fifth intercostal space. In females, ST 18 is located at the midpoint of the inferior crease of the breast.",moved 'Note' to a new line prefixed with '- '.
ST 18 (Male),"In the anterior thoracic region, in the fifth intercostal space, 4 B-cun lateral to the anterior median line. Note: In males, ST 18 is located at the intersection of nipple line and the fifth intercostal space. In females, ST 18 is located at the midpoint of the inferior crease of the breast.","In the anterior thoracic region, in the fifth intercostal space, 4 B-cun lateral to the anterior median line.
- Note: In males, ST 18 is located at the intersection of nipple line and the fifth intercostal space. In females, ST 18 is located at the midpoint of the inferior crease of the breast.",moved 'Note' to a new line prefixed with '- '.
ST 18 (Female),"In the anterior thoracic region, in the fifth intercostal space, 4 B-cun lateral to the anterior median line. Note: In males, ST 18 is located at the intersection of nipple line and the fifth intercostal space. In females, ST 18 is located at the midpoint of the inferior crease of the breast.","In the anterior thoracic region, in the fifth intercostal space, 4 B-cun lateral to the anterior median line.
- Note: In males, ST 18 is located at the intersection of nipple line and the fifth intercostal space. In females, ST 18 is located at the midpoint of the inferior crease of the breast.",moved 'Note' to a new line prefixed with '- '.
ST 19,"On the upper abdomen, 6 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. Note 1: ST 19 is 2 B-cun lateral to CV14. Note 2: If the infrasternal angle is too sharp and the rib is located inferior to ST 19, ST 19 can be reached by oblique needling.","On the upper abdomen, 6 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line.
- Note 1: ST 19 is 2 B-cun lateral to CV 14.
- Note 2: If the infrasternal angle is too sharp and the rib is located inferior to ST 19, ST 19 can be reached by oblique needling.",normalized acupoint code 'CV14' to 'CV 14'; moved 'Note' to a new line prefixed with '- '.
ST 20,"On the upper abdomen, 5 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. Note: ST20 is 5 B-cun superior to ST25, 1 B-cun inferior to St19, 2 B-cun lateral to CV13.","On the upper abdomen, 5 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line.
- Note: ST 20 is 5 B-cun superior to ST 25, 1 B-cun inferior to ST 19, 2 B-cun lateral to CV 13.",normalized acupoint code 'ST20' to 'ST 20'; normalized acupoint code 'ST25' to 'ST 25'; normalized acupoint code 'St19' to 'ST 19'; normalized acupoint code 'CV13' to 'CV 13'; moved 'Note' to a new line prefixed with '- '.
ST 21,"On the upper abdomen, 4 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. Note: ST21 is 4 B-cun superior to ST25, 1 B-cun inferior to St20, 2 B-cun lateral to CV12.","On the upper abdomen, 4 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line.
- Note: ST 21 is 4 B-cun superior to ST 25, 1 B-cun inferior to ST 20, 2 B-cun lateral to CV 12.",normalized acupoint code 'ST21' to 'ST 21'; normalized acupoint code 'ST25' to 'ST 25'; normalized acupoint code 'St20' to 'ST 20'; normalized acupoint code 'CV12' to 'CV 12'; moved 'Note' to a new line prefixed with '- '.
ST 22,"On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. Note: ST22 is located at the same level and lateral to KI18 and CV11.","On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line.
- Note: ST 22 is located at the same level and lateral to KI 18 and CV 11.",normalized acupoint code 'ST22' to 'ST 22'; normalized acupoint code 'KI18' to 'KI 18'; normalized acupoint code 'CV11' to 'CV 11'; moved 'Note' to a new line prefixed with '- '.
ST 23,"On the upper abdomen, 2 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. Note: ST23 is located at the same level and lateral to KI17 and CV10.","On the upper abdomen, 2 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line.
- Note: ST 23 is located at the same level and lateral to KI 17 and CV 10.",normalized acupoint code 'ST23' to 'ST 23'; normalized acupoint code 'KI17' to 'KI 17'; normalized acupoint code 'CV10' to 'CV 10'; moved 'Note' to a new line prefixed with '- '.
ST 24,"On the upper abdomen, 1 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. Note: ST24 is at the same level and lateral to CV9.","On the upper abdomen, 1 B-cun superior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line.
- Note: ST 24 is at the same level and lateral to CV 9.",normalized acupoint code 'ST24' to 'ST 24'; normalized acupoint code 'CV9' to 'CV 9'; moved 'Note' to a new line prefixed with '- '.
ST 25,"On the upper abdomen, 2 B-cun lateral to the centre of the umbilicus.","On the upper abdomen, 2 B-cun lateral to the centre of the umbilicus.",No changes needed.
ST 26,"On the lower abdomen, 1 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. Note: ST26 is at the same level and lateral to KI15 and CV7.","On the lower abdomen, 1 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line.
- Note: ST 26 is at the same level and lateral to KI 15 and CV 7.",normalized acupoint code 'ST26' to 'ST 26'; normalized acupoint code 'KI15' to 'KI 15'; normalized acupoint code 'CV7' to 'CV 7'; moved 'Note' to a new line prefixed with '- '.
ST 27,"On the lower abdomen, 2 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. Note: ST27 is at the same level and lateral to KI14 and CV5.","On the lower abdomen, 2 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line.
- Note: ST 27 is at the same level and lateral to KI 14 and CV 5.",normalized acupoint code 'ST27' to 'ST 27'; normalized acupoint code 'KI14' to 'KI 14'; normalized acupoint code 'CV5' to 'CV 5'; moved 'Note' to a new line prefixed with '- '.
ST 28,"On the lower abdomen, 3 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. Note: ST28 is 3 B-cun inferior to ST25, 1 B-cun inferior to St27, 2 B-cun lateral to CV4.","On the lower abdomen, 3 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line.
- Note: ST 28 is 3 B-cun inferior to ST 25, 1 B-cun inferior to ST 27, 2 B-cun lateral to CV 4.",normalized acupoint code 'ST28' to 'ST 28'; normalized acupoint code 'ST25' to 'ST 25'; normalized acupoint code 'St27' to 'ST 27'; normalized acupoint code 'CV4' to 'CV 4'; moved 'Note' to a new line prefixed with '- '.
ST 29,"On the lower abdomen, 4 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line. Note: ST29 is 4 B-cun inferior to ST25, 1 B-cun inferior to St28, 2 B-cun lateral to CV3.","On the lower abdomen, 4 B-cun inferior to the centre of the umbilicus, 2 B-cun lateral to the anterior median line.
- Note: ST 29 is 4 B-cun inferior to ST 25, 1 B-cun inferior to ST 28, 2 B-cun lateral to CV 3.",normalized acupoint code 'ST29' to 'ST 29'; normalized acupoint code 'ST25' to 'ST 25'; normalized acupoint code 'St28' to 'ST 28'; normalized acupoint code 'CV3' to 'CV 3'; moved 'Note' to a new line prefixed with '- '.
