Label,Indications-extracted,indications-normalized,What Changed
LI 4,"Headache, pain in the neck, redness, swelling and pain of the eye, epistaxis, nasal obstruction, rhinorrhea, toothache, deafness, swelling of the face, sore throat, parotitis, trismus, facial paralysis, febrile diseases with anhidrosis, hyperhidrosis, abdominal pain, dysentery, constipation, amenorrhea, delayed labour, infantile convulsion, pain, weakness and motor impairment of the upper limbs.","headache, pain in the neck, redness of the eye, swelling of the eye, pain in the eye, epistaxis, nasal obstruction, rhinorrhea, toothache, deafness, swelling of the face, sore throat, parotitis, trismus, facial paralysis, febrile disease with anhidrosis, hyperhidrosis, abdominal pain, dysentery, constipation, amenorrhea, delayed labor, infantile convulsion, pain in the upper limbs, weakness of the upper limbs, motor impairment of the upper limbs","Removed trailing period; split 'redness, swelling and pain of the eye' and 'pain, weakness and motor impairment of the upper limbs' into separate items."
LI 5,"Headache, redness, pain and swelling of the eye, toothache, sore throat, pain of the wrist.","headache, redness of the eye, pain in the eye, swelling of the eye, toothache, sore throat, pain in the wrist","Removed trailing period; split 'redness, pain and swelling of the eye' into separate items."
LI 6,"Redness of the eye, tinnitus, deafness, epistaxis, aching of the hand and arm, sore throat, edema.","redness of the eye, tinnitus, deafness, epistaxis, aching of the hand, aching of the arm, sore throat, edema","Removed trailing period; split 'aching of the hand and arm' into 'aching of the hand, aching of the arm'."
LI 7,"Headache, swelling of the face, sore throat, borborygmus, abdominal pain, aching of the shoulder and arm.","headache, swelling of the face, sore throat, borborygmus, abdominal pain, aching of the shoulder, aching of the arm","Removed trailing period; split 'aching of the shoulder and arm' into 'aching of the shoulder, aching of the arm'."
LI 8,"Abdominal pain, borborygmus, pain in the elbow and arm, motor impairment of the upper limbs.","abdominal pain, borborygmus, pain in the elbow, pain in the arm, motor impairment of the upper limbs","Removed trailing period; split 'pain in the elbow and arm' into 'pain in the elbow, pain in the arm'."
LI 9,"Aching of the shoulder and arm, motor impairment of the upper limbs, numbness of the hand and arm, borborygmus, abdominal pain.","aching of the shoulder, aching of the arm, motor impairment of the upper limbs, numbness of the hand, numbness of the arm, borborygmus, abdominal pain",Removed trailing period; split 'aching of the shoulder and arm' and 'numbness of the hand and arm' into separate items.
LI 10,"Abdominal pain, diarrhea, toothache, swelling of the cheek, motor impairment of the upper limbs, pain in the shoulder and back.","abdominal pain, diarrhea, toothache, swelling of the cheek, motor impairment of the upper limbs, pain in the shoulder, pain in the back","Removed trailing period; split 'pain in the shoulder and back' into 'pain in the shoulder, pain in the back'."
LI 11,"Sore throat, toothache, redness and pain of the eye, scrofula, urticaria, motor impairment of the upper extremities, abdominal pain, vomiting, diarrhea, febrile diseases.","sore throat, toothache, redness of the eye, pain in the eye, scrofula, urticaria, motor impairment of the upper extremities, abdominal pain, vomiting, diarrhea, febrile disease","Removed trailing period; split 'redness and pain of the eye' into 'redness of the eye, pain in the eye'."
LI 12,"Pain, numbness and contracture of the elbow and arm.","pain in the elbow, pain in the arm, numbness of the elbow, numbness of the arm, contracture of the elbow, contracture of the arm","Removed trailing period; split 'pain, numbness and contracture of the elbow and arm' into separate condition/location combinations."
LI 13,"Contracture and pain of the elbow and arm, scrofula.","contracture of the elbow, contracture of the arm, pain in the elbow, pain in the arm, scrofula",Removed trailing period; split 'contracture and pain of the elbow and arm' into separate condition/location combinations.
LI 14,"Pain in the shoulder and arm, rigidity of the neck, scrofula.","pain in the shoulder, pain in the arm, rigidity of the neck, scrofula","Removed trailing period; split 'pain in the shoulder and arm' into 'pain in the shoulder, pain in the arm'."
LI 15,"Pain in the shoulder and arm, motor impairment of the upper extremities, rubella, scrofula.","pain in the shoulder, pain in the arm, motor impairment of the upper extremities, rubella, scrofula","Removed trailing period; split 'pain in the shoulder and arm' into 'pain in the shoulder, pain in the arm'."
LI 16,"Pain and motor impairment of the upper extremities, pain in the shoulder and back.","pain in the upper extremities, motor impairment of the upper extremities, pain in the shoulder, pain in the back",Removed trailing period; split 'pain and motor impairment of the upper extremities' and 'pain in the shoulder and back' into separate items.
LI 17,"Sudden loss of voice, sore throat, scrofula, goiter.","sudden loss of voice, sore throat, scrofula, goiter",Removed trailing period.
LI 18,"Cough, asthma, sore throat, sudden loss of voice, scrofula, goiter.","cough, asthma, sore throat, sudden loss of voice, scrofula, goiter",Removed trailing period.
LI 19,"Nasal obstruction, epistaxis, deviation of the mouth.","nasal obstruction, epistaxis, deviation of the mouth",Removed trailing period.
LI 20,"Nasal obstruction, hyposmia, epistaxis, rhinorrhea, deviation of the mouth, itching and swelling of the face.","nasal obstruction, hyposmia, epistaxis, rhinorrhea, deviation of the mouth, itching of the face, swelling of the face","Removed trailing period; split 'itching and swelling of the face' into 'itching of the face, swelling of the face'."
,,,
ST 1,"Redness, swelling and pain of the eye, lacrimation, night blindness, eyelid twitching, facial paralysis/Bell palsy.","redness of the eye, swelling of the eye, pain in the eye, lacrimation, night blindness, eyelid twitching, facial paralysis (bell's palsy)","Removed trailing period; split 'redness, swelling and pain of the eye' into separate items."
ST 2,"Redness, pain and itching of the eye, facial paralysis, twitching of eye lids, pain in the face.","redness of the eye, pain in the eye, itching of the eye, facial paralysis, eyelid twitching, pain in the face","Removed trailing period; split 'redness, pain and itching of the eye' into separate items."
ST 3,"Facial paralysis, eyelid twitch, epistaxis, toothache, swelling of lips and cheek.","facial paralysis, eyelid twitching, epistaxis, toothache, swelling of the lips, swelling of the cheek","Removed trailing period; split 'swelling of lips and cheek' into 'swelling of the lips, swelling of the cheek'."
ST 4,"Deviation of the mouth, hypersalivation, eyelid twitching.","deviation of the mouth, hypersalivation, eyelid twitching",Removed trailing period.
ST 5,"Facial paralysis, trismus, swelling of the cheek, facial pain, toothache.","facial paralysis, trismus, swelling of the cheek, facial pain, toothache",Removed trailing period.
ST 6,"Facial paralysis, toothache, swelling of the cheek and face, mumps, trismus.","facial paralysis, toothache, swelling of the cheek, swelling of the face, mumps, trismus","Removed trailing period; split 'swelling of the cheek and face' into 'swelling of the cheek, swelling of the face'."
ST 7,"Deafness, tinnitus, otorrhea, toothache, facial paralysis, pain of the face, motor impairment of the jaw.","deafness, tinnitus, otorrhea, toothache, facial paralysis, pain of the face, motor impairment of the jaw",Removed trailing period.
ST 8,"Headache, blurring of vision, ophthalmalgia, lacrimation.","headache, blurred vision, ophthalmalgia, lacrimation",Removed trailing period.
ST 9,"Sore throat, asthma, goiter, dizziness, flushing of the face.","sore throat, asthma, goiter, dizziness, flushing of the face",Removed trailing period.
ST 10,"Sore throat, asthma, cough.","sore throat, asthma, cough",Removed trailing period.
ST 11,"Sore throat, pain and rigidity of the neck, asthma, hiccup, goiter.","sore throat, pain in the neck, rigidity of the neck, asthma, hiccup, goiter","Removed trailing period; split 'pain and rigidity of the neck' into 'pain in the neck, rigidity of the neck'."
ST 12,"Cough, asthma, sore throat, pain in the supraclavicular fossa.","cough, asthma, sore throat, pain in the supraclavicular fossa",Removed trailing period.
ST 13,"Fullness in the chest, asthma, cough, hiccup, chest pain and hypochondriac pain.","fullness in the chest, asthma, cough, hiccup, chest pain, hypochondriac pain","Removed trailing period; split 'chest pain and hypochondriac pain' into 'chest pain, hypochondriac pain'."
ST 14,"Sensation of fullness in the chest, chest pain, cough.","sensation of fullness in the chest, chest pain, cough",Removed trailing period.
ST 15,"Fullness and pain in the chest and the costal region, cough, asthma, mastitis.","fullness in the chest, fullness in the costal region, pain in the chest, pain in the costal region, cough, asthma, mastitis",Removed trailing period; split 'fullness and pain in the chest and the costal region' into separate condition/location combinations.
ST 16,"Fullness and pain in the chest and hypochondrium, cough, asthma, mastitis.","fullness in the chest, fullness in the hypochondrium, pain in the chest, pain in the hypochondrium, cough, asthma, mastitis",Removed trailing period; split 'fullness and pain in the chest and hypochondrium' into separate condition/location combinations.
ST 17,,,
ST 17 (Male),,,
ST 17 (Female),,,
ST 18,"Pain in the chest, cough, asthma, mastitis, insufficient lactation.","pain in the chest, cough, asthma, mastitis, insufficient lactation",Removed trailing period.
ST 18 (Male),"Pain in the chest, cough, asthma, mastitis, insufficient lactation.","pain in the chest, cough, asthma, mastitis, insufficient lactation",Removed trailing period.
ST 18 (Female),"Pain in the chest, cough, asthma, mastitis, insufficient lactation.","pain in the chest, cough, asthma, mastitis, insufficient lactation",Removed trailing period.
ST 19,"Abdominal distension, vomiting, gastric pain, anorexia.","abdominal distension, vomiting, gastric pain, anorexia",Removed trailing period.
ST 20,"Gastric pain, abdominal distension, vomiting, anorexia.","gastric pain, abdominal distension, vomiting, anorexia",Removed trailing period.
ST 21,"Gastric pain, vomiting, anorexia, abdominal distension, diarrhea.","gastric pain, vomiting, anorexia, abdominal distension, diarrhea",Removed trailing period.
ST 22,"Abdominal distension and pain, anorexia, borborygmus, diarrhea, edema.","abdominal distension, abdominal pain, anorexia, borborygmus, diarrhea, edema","Removed trailing period; split 'abdominal distension and pain' into 'abdominal distension, abdominal pain'."
ST 23,"Gastric pain, irritability, mania, indigestion.","gastric pain, irritability, mania, indigestion",Removed trailing period.
ST 24,"Gastric pain, vomiting, mania.","gastric pain, vomiting, mania",Removed trailing period.
ST 25,"Abdominal pain and distension, borborygmus, pain around the umbilicus, constipation, diarrhea, dysentery, irregular menstruation, edema.","abdominal pain, abdominal distension, borborygmus, pain around the umbilicus, constipation, diarrhea, dysentery, irregular menstruation, edema","Removed trailing period; split 'abdominal pain and distension' into 'abdominal pain, abdominal distension'."
ST 26,"Abdominal pain, hernia, dysmenorrhea.","abdominal pain, hernia, dysmenorrhea",Removed trailing period.
ST 27,"Lower abdominal distension, dysuria, hernia, seminal emission, premature ejaculation.","lower abdominal distension, dysuria, hernia, seminal emission, premature ejaculation",Removed trailing period.
ST 28,"Lower abdominal distension, retention of urine, edema, hernia, dysmenorrhea, sterility.","lower abdominal distension, retention of urine, edema, hernia, dysmenorrhea, sterility",Removed trailing period.
ST 29,"Abdominal pain, hernia, dysmenorrhea, irregular menstruation, amenorrhea, leucorrhea, prolapse of the uterus.","abdominal pain, hernia, dysmenorrhea, irregular menstruation, amenorrhea, leukorrhea, prolapse of the uterus",Removed trailing period.
ST 30,"Abdominal pain, borborygmus, hernia, swelling and pain of the external genitalia, impotence, dysmenorrhea, irregular menstruation.","abdominal pain, borborygmus, hernia, swelling of the external genitalia, pain in the external genitalia, impotence, dysmenorrhea, irregular menstruation",Removed trailing period; split 'swelling and pain of the external genitalia' into separate items.
ST 31,"Pain in the thigh, muscular atrophy, motor impairment, numbness and pain of the lower extremities.","pain in the thigh, muscular atrophy of the lower extremities, motor impairment of the lower extremities, numbness of the lower extremities, pain in the lower extremities","Removed trailing period; split 'muscular atrophy, motor impairment, numbness and pain of the lower extremities' into separate items."
ST 32,"Pain in the lumbar and iliac region, coldness of the knee, paralysis or motor impairment and pain of the lower extremities, beriberi.","pain in the lumbar region, pain in the iliac region, coldness of the knee, paralysis in the lower extremities, motor impairment of the lower extremities, pain in the lower extremities, beriberi",Removed trailing period; split 'pain in the lumbar and iliac region' and 'paralysis or motor impairment and pain of the lower extremities' into separate items.
ST 33,"Numbness, soreness, motor impairment of the leg and knee, motor impairment of the lower extremities.","numbness of the leg, numbness of the knee, soreness of the leg, soreness of the knee, motor impairment of the leg, motor impairment of the knee, motor impairment of the lower extremities","Removed trailing period; split 'numbness, soreness, motor impairment of the leg and knee' into separate items."
ST 34,"Pain and numbness of the knee, gastric pain, mastitis, motor impairment of the lower extremities.","pain in the knee, numbness of the knee, gastric pain, mastitis, motor impairment of the lower extremities","Removed trailing period; split 'pain and numbness of the knee' into 'pain in the knee, numbness of the knee'."
ST 35,"Pain, numbness and motor impairment of the knee, beriberi.","pain in the knee, numbness of the knee, motor impairment of the knee, beriberi","Removed trailing period; split 'pain, numbness and motor impairment of the knee' into separate items."
ST 36,"Gastric pain, vomiting, hiccup, abdominal distension, borborygmus, diarrhea, dysentery, constipation, mastitis, enteritis, aching of the knee joint and leg, beriberi, edema, cough, asthma, emaciation due to general deficiency, indigestion, apoplexy, hemiplegia, dizziness, insomnia, mania.","gastric pain, vomiting, hiccup, abdominal distension, borborygmus, diarrhea, dysentery, constipation, mastitis, enteritis, aching of the knee joint, aching of the leg, beriberi, edema, cough, asthma, emaciation due to general deficiency, indigestion, apoplexy, hemiplegia, dizziness, insomnia, mania","Removed trailing period; split 'aching of the knee joint and leg' into 'aching of the knee joint, aching of the leg'."
ST 37,"Abdominal pain and distension, borborygmus, diarrhea, dysentery, constipation, enteritis, paralysis due to stroke, beriberi.","abdominal pain, abdominal distension, borborygmus, diarrhea, dysentery, constipation, enteritis, paralysis due to stroke, beriberi","Removed trailing period; split 'abdominal pain and distension' into 'abdominal pain, abdominal distension'."
ST 38,"Numbness, soreness and pain of the knee and leg, weakness and motor impairment of the foot, pain and motor impairment of the shoulder, abdominal pain.","numbness of the knee, numbness of the leg, soreness of the knee, soreness of the leg, pain in the knee, pain in the leg, weakness of the foot, motor impairment of the foot, pain in the shoulder, motor impairment of the shoulder, abdominal pain","Removed trailing period; split 'numbness, soreness and pain of the knee and leg', 'weakness and motor impairment of the foot', and 'pain and motor impairment of the shoulder' into separate items."
ST 39,"Lower abdominal pain, backache referring to the testis, mastitis, numbness and paralysis of the lower extremities.","lower abdominal pain, backache referring to the testis, mastitis, numbness of the lower extremities, paralysis in the lower extremities",Removed trailing period; split 'numbness and paralysis of the lower extremities' into separate items.
ST 40,"Headache, dizziness and vertigo, cough, asthma, excessive sputum, pain in the chest, constipation, mania, epilepsy, muscular atrophy, motor impairment, pain, swelling or paralysis of the lower extremities.","headache, dizziness, vertigo, cough, asthma, excessive sputum, pain in the chest, constipation, mania, epilepsy, muscular atrophy of the lower extremities, motor impairment of the lower extremities, pain in the lower extremities, swelling of the lower extremities, paralysis in the lower extremities","Removed trailing period; split 'dizziness and vertigo' and 'muscular atrophy, motor impairment, pain, swelling or paralysis of the lower extremities' into separate items."
ST 41,"Pain of the ankle joint, muscular atrophy, motor impairment, pain and paralysis of the lower extremities, epilepsy, headache, dizziness and vertigo, abdominal distension, constipation.","pain of the ankle joint, muscular atrophy of the lower extremities, motor impairment of the lower extremities, pain in the lower extremities, paralysis in the lower extremities, epilepsy, headache, dizziness, vertigo, abdominal distension, constipation","Removed trailing period; split 'muscular atrophy, motor impairment, pain and paralysis of the lower extremities' and 'dizziness and vertigo' into separate items."
ST 42,"Pain of the upper teeth, redness and swelling of the dorsum of the foot, facial paralysis, muscular atrophy and motor impairment of the foot.","pain of the upper teeth, redness of the dorsum of the foot, swelling of the dorsum of the foot, facial paralysis, muscular atrophy of the foot, motor impairment of the foot",Removed trailing period; split 'redness and swelling of the dorsum of the foot' and 'muscular atrophy and motor impairment of the foot' into separate items.
ST 43,"Facial or general edema, abdominal pain, borborygmus, swelling and pain of the dorsum of the foot.","facial edema, general edema, abdominal pain, borborygmus, swelling of the dorsum of the foot, pain in the dorsum of the foot",Removed trailing period; split 'facial or general edema' and 'swelling and pain of the dorsum of the foot' into separate items.
ST 44,"Toothache, pain in the face, deviation of the mouth, sore throat, epistaxis, gastric pain, acid regurgitation, abdominal distension, diarrhea, dysentery, constipation, swelling and pain of the dorsum of the foot, febrile diseases.","toothache, pain in the face, deviation of the mouth, sore throat, epistaxis, gastric pain, acid regurgitation, abdominal distension, diarrhea, dysentery, constipation, swelling of the dorsum of the foot, pain in the dorsum of the foot, febrile disease",Removed trailing period; split 'swelling and pain of the dorsum of the foot' into separate items.
ST 45,"Facial swelling, deviation of the mouth, epistaxis, toothache, sore throat and hoarse voice, abdominal distension, coldness in the leg and foot, febrile diseases, dream-disturbed sleep, mania.","facial swelling, deviation of the mouth, epistaxis, toothache, sore throat, hoarse voice, abdominal distension, coldness in the leg, coldness in the foot, febrile disease, dream-disturbed sleep, mania",Removed trailing period; split 'sore throat and hoarse voice' and 'coldness in the leg and foot' into separate items.
,,,
SP 1,"Abdominal distension, bloody stools, menorrhagia, uterine bleeding, mental disorders, dream disturbed sleep, convulsion.","abdominal distension, bloody stools, menorrhagia, uterine bleeding, mental disorder, dream-disturbed sleep, convulsion",Removed trailing period.
SP 2,"Abdominal distension, gastric pain, constipation, febrile diseases with anhidrosis.","abdominal distension, gastric pain, constipation, febrile disease with anhidrosis",Removed trailing period.
SP 3,"Gastric pain, abdominal distension, constipation, dysentery, vomiting diarrhea, borborygmus, sluggishness, beriberi.","gastric pain, abdominal distension, constipation, dysentery, vomiting, diarrhea, borborygmus, sluggishness, beriberi","Removed trailing period; inserted comma in 'vomiting diarrhea' to read 'vomiting, diarrhea'."
SP 4,"Gastric pain, vomiting, abdominal pain and distension, diarrhea, dysentery, borborygmus.","gastric pain, vomiting, abdominal pain, abdominal distension, diarrhea, dysentery, borborygmus","Removed trailing period; split 'abdominal pain and distension' into 'abdominal pain, abdominal distension'."
SP 5,"Abdominal distension, constipation, diarrhea, borborygmus, pain and rigidity of the tongue, pain in the foot and ankle, hemorrhoid.","abdominal distension, constipation, diarrhea, borborygmus, pain in the tongue, rigidity of the tongue, pain in the foot, pain in the ankle, hemorrhoids",Removed trailing period; split 'pain and rigidity of the tongue' and 'pain in the foot and ankle' into separate items.
SP 6,"Abdominal pain, borborygmus, abdominal distension, diarrhea, dysmenorrhea, irregular menstruation, uterine bleeding, morbid leukorrhea, prolapse of the uterus, infertility, delayed labour, nocturnal emission, impotence, enuresis, dysuria, edema, hernia, pain in the external genitalia, muscular atrophy, motor impairment, paralysis and pain of the lower extremities, headache, dizziness and vertigo, insomnia.","abdominal pain, borborygmus, abdominal distension, diarrhea, dysmenorrhea, irregular menstruation, uterine bleeding, morbid leukorrhea, prolapse of the uterus, infertility, delayed labor, nocturnal emission, impotence, enuresis, dysuria, edema, hernia, pain in the external genitalia, muscular atrophy of the lower extremities, motor impairment of the lower extremities, paralysis in the lower extremities, pain in the lower extremities, headache, dizziness, vertigo, insomnia","Removed trailing period; split 'muscular atrophy, motor impairment, paralysis and pain of the lower extremities' and 'dizziness and vertigo' into separate items."
SP 7,"Abdominal distension, borborygmus, coldness, numbness and paralysis of the knee and leg.","abdominal distension, borborygmus, coldness of the knee, coldness of the leg, numbness of the knee, numbness of the leg, paralysis in the knee, paralysis in the leg","Removed trailing period; split 'coldness, numbness and paralysis of the knee and leg' into separate items."
SP 8,"Abdominal pain and distension, diarrhea, edema, dysuria, nocturnal emission, irregular menstruation, dysmenorrhea.","abdominal pain, abdominal distension, diarrhea, edema, dysuria, nocturnal emission, irregular menstruation, dysmenorrhea","Removed trailing period; split 'abdominal pain and distension' into 'abdominal pain, abdominal distension'."
SP 9,"Abdominal pain and distension, diarrhea, dysentery, edema, jaundice, dysuria, enuresis, urinary incontinence, pain in the external genitalia, dysmenorrhea, pain in the knee.","abdominal pain, abdominal distension, diarrhea, dysentery, edema, jaundice, dysuria, enuresis, urinary incontinence, pain in the external genitalia, dysmenorrhea, pain in the knee","Removed trailing period; split 'abdominal pain and distension' into 'abdominal pain, abdominal distension'."
SP 10,"Irregular menstruation, dysmenorrhea, uterine bleeding, amenorrhea, urticaria, eczema, erysipelas, pain in the medial aspect of the thigh.","irregular menstruation, dysmenorrhea, uterine bleeding, amenorrhea, urticaria, eczema, erysipelas, pain in the medial aspect of the thigh",Removed trailing period.
SP 11,"Dysuria, enuresis, pain and swelling in the inguinal region, muscular atrophy, motor impairment, pain and paralysis of the lower extremities.","dysuria, enuresis, pain in the inguinal region, swelling in the inguinal region, muscular atrophy of the lower extremities, motor impairment of the lower extremities, pain in the lower extremities, paralysis in the lower extremities","Removed trailing period; split 'pain and swelling in the inguinal region' and 'muscular atrophy, motor impairment, pain and paralysis of the lower extremities' into separate items."
SP 12,"Abdominal pain, hernia, dysuria.","abdominal pain, hernia, dysuria",Removed trailing period.
SP 13,"Lower abdominal pain, hernia.","lower abdominal pain, hernia",Removed trailing period.
SP 14,"Pain around the umbilical region, abdominal distension, hernia, diarrhea, constipation.","pain around the umbilical region, abdominal distension, hernia, diarrhea, constipation",Removed trailing period.
SP 15,"Abdominal pain and distension, diarrhea, dysentery, constipation.","abdominal pain, abdominal distension, diarrhea, dysentery, constipation","Removed trailing period; split 'abdominal pain and distension' into 'abdominal pain, abdominal distension'."
SP 16,"Abdominal pain, indigestion, constipation, dysentery.","abdominal pain, indigestion, constipation, dysentery",Removed trailing period.
SP 17,Fullness and pain in the chest and hypochondriac region.,"fullness in the chest, fullness in the hypochondriac region, pain in the chest, pain in the hypochondriac region",Removed trailing period; split 'fullness and pain in the chest and hypochondriac region' into separate condition/location combinations.
SP 18,"Fullness and pain in the chest and hypochondrium, cough, hiccup, mastitis, insufficient lactation.","fullness in the chest, fullness in the hypochondrium, pain in the chest, pain in the hypochondrium, cough, hiccup, mastitis, insufficient lactation",Removed trailing period; split 'fullness and pain in the chest and hypochondrium' into separate condition/location combinations.
SP 19,Fullness and pain in the chest and hypochondriac region.,"fullness in the chest, fullness in the hypochondriac region, pain in the chest, pain in the hypochondriac region",Removed trailing period; split 'fullness and pain in the chest and hypochondriac region' into separate condition/location combinations.
SP 20,"Fullness in the chest and hypochondriac region, cough, hiccup.","fullness in the chest, fullness in the hypochondriac region, cough, hiccup","Removed trailing period; split 'fullness in the chest and hypochondriac region' into 'fullness in the chest, fullness in the hypochondriac region'."
SP 21,"Pain in the chest and hypochondriac region, asthma, general aching and weakness.","pain in the chest, pain in the hypochondriac region, asthma, general aching, general weakness",Removed trailing period; split 'pain in the chest and hypochondriac region' and 'general aching and weakness' into separate items.
,,,
HT 1,"Pain in the costal and cardiac regions, scrofula, cold pain of the elbow and arm, dryness of the throat.","pain in the costal region, pain in the cardiac region, scrofula, cold pain of the elbow, cold pain of the arm, dryness of the throat",Removed trailing period; split 'pain in the costal and cardiac regions' and 'cold pain of the elbow and arm' into separate items.
HT 2,"Pain in the cardiac and hypochondriac regions, shoulder and arm.","pain in the cardiac region, pain in the hypochondriac region, pain in the shoulder, pain in the arm","Removed trailing period; split 'pain in the cardiac and hypochondriac regions, shoulder and arm' into separate items."
HT 3,"Cardiac pain, spasmodic pain and numbness of the hand and arm, tremor of the hand, scrofula, pain in the axilla and hypochondriac region.","cardiac pain, spasmodic pain of the hand, spasmodic pain of the arm, numbness of the hand, numbness of the arm, tremor of the hand, scrofula, pain in the axilla, pain in the hypochondriac region",Removed trailing period; split 'spasmodic pain and numbness of the hand and arm' and 'pain in the axilla and hypochondriac region' into separate items.
HT 4,"Cardiac pain, spasmodic pain of the elbow and arm, sudden loss of voice.","cardiac pain, spasmodic pain of the elbow, spasmodic pain of the arm, sudden loss of voice",Removed trailing period; split 'spasmodic pain of the elbow and arm' into separate items.
HT 5,"Palpitation, dizziness, blurring of vision, sore throat, sudden loss of voice, aphasia with stiffness of the tongue, pain in the wrist and elbow.","palpitation, dizziness, blurred vision, sore throat, sudden loss of voice, aphasia with stiffness of the tongue, pain in the wrist, pain in the elbow","Removed trailing period; split 'pain in the wrist and elbow' into 'pain in the wrist, pain in the elbow'."
HT 6,"Cardiac pain, hysteria, night sweating, hemoptysis, epistaxis, sudden loss of voice.","cardiac pain, hysteria, night sweat, hemoptysis, epistaxis, sudden loss of voice",Removed trailing period.
HT 7,"Cardiac pain, irritability, palpitation, hysteria, amnesia, insomnia, mania, epilepsy, dementia, pain in the hypochondriac region, feverish sensation in the palm, yellowish sclera.","cardiac pain, irritability, palpitation, hysteria, amnesia, insomnia, mania, epilepsy, dementia, pain in the hypochondriac region, feverish sensation in the palm, yellowish sclera",Removed trailing period.
HT 8,"Palpitation, pain in the chest, spasmodic pain of the little finger, feverish sensation in the palm, enuresis, dysuria, pruritus of the external genitalia.","palpitation, pain in the chest, spasmodic pain of the little finger, feverish sensation in the palm, enuresis, dysuria, pruritus of the external genitalia",Removed trailing period.
HT 9,"Palpitation, cardiac pain, pain in the chest and hypochondriac regions, mania, febrile diseases, loss of consciousness.","palpitation, cardiac pain, pain in the chest, pain in the hypochondriac region, mania, febrile disease, loss of consciousness",Removed trailing period; split 'pain in the chest and hypochondriac regions' into separate items.
,,,
SI 1,"Headache, febrile diseases, loss of consciousness, insufficient lactation, sore throat, redness of the eye, cloudiness of the cornea.","headache, febrile disease, loss of consciousness, insufficient lactation, sore throat, redness of the eye, cloudiness of the cornea",Removed trailing period.
SI 2,"Numbness of the fingers, febrile diseases, tinnitus, headache, reddish urine.","numbness of the fingers, febrile disease, tinnitus, headache, reddish urine",Removed trailing period.
