"Acupoint","Superclass","Label","Pinyin Label","Synonym","Comment - Correct/Incorrect","Location","Indications","Acupuncture Method","Vasculature","Innervation","Reference","Reference-Synonym",""
"Bitong","TARA:Extra_Acupoint","Bitong","Bitong","M-HN 14","","At the highest point of the nasolabial groove.","Rhinitis, nasal obstruction, nasal boils.","Puncture subcutaneously upward 0.3-0.5 inch.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Qianzheng","TARA:Extra_Acupoint","Qianzheng","Qianzheng","N-HN 20","","0.5-1.0 cun anterior to the auricular lobe.","Deviation of the eyes and mouth, ulceration on tongue and mouth.","Puncture obliquely 0.5- 1.0 inch.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Yiming","TARA:Extra_Acupoint","Yiming","Yiming","EX-HN 14, M-HN 13","","1 cun posterior to Yifeng (TE 17).","Eye diseases, tinnitus, insomma.","Puncture perpendicularly 0.5-0.8 inch.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Anmian","TARA:Extra_Acupoint","Anmian","Anmian","N-HN 54","","Midpoint between Yifeng (TE 17) and Fengchi (GB 20).","Insomnia, vertigo, headache, palpitation, mental disorders.","Puncture perpendicularly 0.5-0.8 inch.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Dingchuan","TARA:Extra_Acupoint","Dingchuan","Dingchuan","EX-B 1, M-BW 1","","0.5 cun lateral to Dazhui (GV 14).","Asthma, cough, neck rigidity, pain in the shoulder and back, rubella.","Puncture perpendicularly 0.5-0.8 inch. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Huatuojiaji","TARA:Extra_Acupoint","Huatuojiaji","Huatuojiaji","EX-B 2, M-BW 35, Jiaji","","A group of 34 points on both sides of the spinal column, 0.5 cun lateral to the lower border of each spinous process from the first thoracic vertebra to the fifth lumbar vertebra.","","Puncture perpendicularly 0.5-1.0 inch in the cervical and chest region, puncture perpendicularly 1.0-1.5 inches in the lumbar region. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Bailao","TARA:Extra_Acupoint","Bailao","Bailao","EX-HN 15, M-HN 30","","2 cun above Dazhui (GV 14), 1 cun lateral to the midline.","Scrofula, cough, asthma, whooping cough, neck rigidity.","Puncture perpendicularly 0.3-0.5 inch. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Weiwanxiashu","TARA:Extra_Acupoint","Weiwanxiashu","Weiwanxiashu","EX-B 3, M-BW 12, Yishu","","1.5 cun lateral to the lower border of the spinous process of the eighth thoracic vertebra. (See Fig. 123)","Diabetes, vomiting, abdominal pain, pain in the chest and hypochondriac region.","Puncture obliquely 0.5-0.7 inch. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Shiqizhui","TARA:Extra_Acupoint","Shiqizhui","Shiqizhui","EX-B 8, M-BW 25, Shiqizhuixia","","Below the spinous process of the fifth lumbar vertebra.","Lumbar Pain, thigh pain, paralysis of the lower extremities, irregular menstruation, dysmenorrhea.","Puncture perpendicularly 0.8-1.2 inches. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Yaoqi","TARA:Extra_Acupoint","Yaoqi","Yaoqi","EX-B 9, M-BW 29","","2 cun directly above the tip of the coccyx.","Epilepsy, headache, inomnia, constipation.","Puncture subcutaneously upward 1.0-2.0 inches. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Pigen","TARA:Extra_Acupoint","Pigen","Pigen","EX-B 4, M-BW 16","","3.5 cun lateral to the lower border of the spinous process of the first lumbar vertebra.","Hepatosplenomegaly, lumbar pain.","Puncture perpendicularly 0.5-0.8 inch. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Yaoyan","TARA:Extra_Acupoint","Yaoyan","Yaoyan","EX-B 7, M-BW 24","","About 3.5-4 cun lateral to the lower border of the spinous process of the 4th lumbar vertebra. The point is in the depression appearing in prone position.","Lumbar pain, frequency of urine, irregular menstruation.","Puncture perpendicularly 0.8-1.2 inches. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Zigongxue","TARA:Extra_Acupoint","Zigongxue","Zigongxue","EX-CA 1, M-CA 18, Zigong","","3 cun lateral to Zhongji (CV 3).","Prolapse of the uterus, irregular menstruation.","Puncture perpendicularly 0.8-1.2 inches. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Jianqian","TARA:Extra_Acupoint","Jianqian","Jianqian","M-UE 48, Jianneiling","","Midway between the end of the anterior axillary fold and Jianyu (LI 15).","Pain in the shoulder and arm, paralysis of the upper extremities.","Puncture perpendicularly 0.8-1.2 inches. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Shixuan","TARA:Extra_Acupoint","Shixuan","Shixuan","EX-UE 11, M-UE 49, Shiwang","","On the tips of the ten fingers, about 0.1 cun distal to the nails.","Apoplexy, coma, epilepsy, high fever, acute tonsillitis, infantile convulsion, numbness of the finger tips.","Puncture 0.1-0.2 inch superficially, or prick to cause bleeding.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Sifeng","TARA:Extra_Acupoint","Sifeng","Sifeng","EX-UE 10, M-UE 9","","On the palmar surface, in the midpoint of the transverse creases of the proximal interphalangeal joints of the index, middle, ring and little fingers.","Malnutrition and indigestion syndrome in children, whooping cough.","Prick to cause bleeding, or squeeze out a small amount of yellowish viscous fluid locally.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Zhongkui","TARA:Extra_Acupoint","Zhongkui","Zhongkui","EX-UE 4, M-UE 16","","On the midpoint of the proximal interphalangeal joint of the middle finger at dorsum aspect.","Nausea, vomiting, hiccup.","Moxibustion is applied with three moxa cones.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Baxie","TARA:Extra_Acupoint","Baxie","Baxie","EX-UE 9, M-UE 22","","On the dorsum of the hand, at the junction of the white and red skin of the hand webs, eight in all, making a loose fist to locate the points.","Excessive heat, finger numbness, spasm and contracture of the fingers, redness and swelling of the dorsum of the hand.","Puncture obliquely 0.3-0.5 inch, or prick to cause bleeding. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Luozhen","TARA:Extra_Acupoint","Luozhen","Luozhen","M-UE 24","","On the dorsum of the hand, between the second and third metacarpal bones, about 0.5 cun posterior to metacarpophalangeal joint.","Sore neck, pain in the shoulder and arm.","Puncture perpendicularly 0.5-0.8 inch.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Yaotongxue","TARA:Extra_Acupoint","Yaotongxue","Yaotongxue","EX-UE 7","","On the dorsum of the hand, midway between the transverse wrist crease and metacarpophalangeal joint, between the second and third metacarpal bones, and between the fourth and fifth metacarpal bones, four points in all on both hands.","Acute lumbar sprain","Puncture obliquely 0.5-1.0 inch toward the centre of metacarpus from both sides.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Zhongquan","TARA:Extra_Acupoint","Zhongquan","Zhongquan","EX-UE 3, M-UE 33","","On the dorsal crease of the wrist, in the depression on the radial side of the tendon of common extensor muscle of fingers between Yangxi (Ll 5) and Yangchi (TE 4).","Stuffy chest, gastric pain, spitting of blood.","Puncture perpendicularly 0.3-0.5 inch. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Erbai","TARA:Extra_Acupoint","Erbai","Erbai","EX-UE 2, M-UE 29","","On the metacarpal aspect of the forearm, 4 cun above the transverse wrist crease, on the both sides of the tendon of m. flexor carpi radialis, two points on one hand.","Hemorrhoids, prolapse of the rectum.","Puncture perpendicularly 0.5- 1.0 inch. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Bizhong","TARA:Extra_Acupoint","Bizhong","Bizhong","M-UE 30","","On the lateral aspect of the forearm, midway between the transverse wrist crease and elbow crease, between the radius and the ulna.","Paralysis, spasm and contracture of the upper extremities, pain of the forearm.","Puncture perpendicularly 1.0-1.2 inches. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Zhoujian","TARA:Extra_Acupoint","Zhoujian","Zhoujian","EX-UE 1, M-UE 46","","On the tip of the ulnar olecranon when the elbow is flexed.","Scrofula","","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Huanzhong","TARA:Extra_Acupoint","Huanzhong","Huanzhong","M-BW 34","","Midway between Huantiao (GB 30) and Yaoshu (GV 2).","Lumbar pain, thigh pain.","Puncture perpendicularly 1.5-2.0 inches. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Baichongwo","TARA:Extra_Acupoint","Baichongwo","Baichongwo","M-LE 34","","1 cun above Xuehai (SP 10).","Rubella, eczema, gastrointestinal parasitic diseases.","Pu ncture perpendicularly 1.0-1.2 inches. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Xiyan","TARA:Extra_Acupoint","Xiyan","Xiyan","EX-LE 5, M-LE 16","","A pair of points in the two depressions, medial and lateral to the patellar ligament, locating the point with the knee flexed. These two points are also termed medial and lateral Xiyan respectively. Lateral Xiyan overlaps with Dubi (ST 35).","Knee pain, weakness of the lower extremities.","Puncture perpendicularly 0.5- 1.0 inch. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Medial Xiyan","Xiyan","Medial Xiyan","Medial Xiyan","EX-LE 4, Neixiyan","","A Xiyan point located in the depression, medial to the patellar ligament, locating the point with the knee flexed.","Knee pain, weakness of the lower extremities.","Puncture perpendicularly 0.5- 1.0 inch. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Lateral Xiyan","Xiyan","Lateral Xiyan","Lateral Xiyan","M-LE 26, Xiwai","","A Xiyan point located in the depression, lateral to the patellar ligament, locating the point with the knee flexed. Lateral Xiyan overlaps with Dubi (ST 35).","Knee pain, weakness of the lower extremities.","Puncture perpendicularly 0.5- 1.0 inch. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
