"Special Point","Label","Superclass","Description","Reference","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of the Pericardium","Front-Mu Point of the Pericardium","Front-Mu Point","The Front-Mu Point of the Pericardium meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of the Large Intestine","Front-Mu Point of the Large Intestine","Front-Mu Point","The Front-Mu Point of the Large Intestine meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"He-Sea Point","He-Sea Point","Shu Point","One of the five Shu Points, the He-Sea point signifies the confluence of rivers in the sea, where the meridian qi is the most flourishing. In addition, each of the six fu organs has another He-Sea point in the three yang meridians of the foot, known as the Lower He-Sea point.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Lower He-Sea Point","Lower He-Sea Point","He-Sea Point","Each of the six fu organs has a He-Sea point in the three yang meridians of the foot, known as the Lower He-Sea point. Chapter 4 of Miracular Pivot says, ""The Lower He-Sea Points of the stomach, large intestine, small intestine, Triple Energizer, bladder and gallbladder are Zusanli (ST 36), Shangjuxu (ST 37), Xiajuxu (ST 39), Weiyang (BL 39), Weizhong (BL 40) and Yanglingquan (GB 34) respectively. Among these points, Zusanli (ST 36), Weizhong (BL 40) and Yanglingquan (GB 34) overlap with the relevant He-Sea points in the Five Shu points. The Lower He-Sea points are mostly employed to treat the disorders of the six fu organs in clinic.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Lower He-Sea Point of Triple Energizer","Lower He-Sea Point of the Triple Energizer","Lower He-Sea Point","The Lower He-Sea Point of the Triple Energizer meridian. One of the five Shu Points, the He-Sea point signifies the confluence of rivers in the sea, where the meridian qi is the most flourishing. In addition, each of the six fu organs has another He-Sea point in the three yang meridians of the foot, known as the Lower He-Sea point. The Lower He-Sea points are mostly employed to treat the disorders of the six fu organs in clinic.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"The Lower He-Sea Point of the Large Intestine","Lower He-Sea Point of the Large Intestine","Lower He-Sea Point","The Lower He-Sea Point of the the Large Intestine meridian. One of the five Shu Points, the He-Sea point signifies the confluence of rivers in the sea, where the meridian qi is the most flourishing. In addition, each of the six fu organs has another He-Sea point in the three yang meridians of the foot, known as the Lower He-Sea point. The Lower He-Sea points are mostly employed to treat the disorders of the six fu organs in clinic.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"The Lower He-Sea Point of the Small Intestine","Lower He-Sea Point of the Small Intestine","Lower He-Sea Point","The Lower He-Sea Point of the the Small Intestine meridian. One of the five Shu Points, the He-Sea point signifies the confluence of rivers in the sea, where the meridian qi is the most flourishing. In addition, each of the six fu organs has another He-Sea point in the three yang meridians of the foot, known as the Lower He-Sea point. The Lower He-Sea points are mostly employed to treat the disorders of the six fu organs in clinic.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"The Lower He-Sea Point of the Stomach","Lower He-Sea Point of the Stomach","Lower He-Sea Point","The Lower He-Sea Point of the the Stomach meridian. One of the five Shu Points, the He-Sea point signifies the confluence of rivers in the sea, where the meridian qi is the most flourishing. In addition, each of the six fu organs has another He-Sea point in the three yang meridians of the foot, known as the Lower He-Sea point. The Lower He-Sea points are mostly employed to treat the disorders of the six fu organs in clinic.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"The Lower He-Sea Point of the Bladder","Lower He-Sea Point of the Bladder","Lower He-Sea Point","The Lower He-Sea Point of the the Bladder meridian. One of the five Shu Points, the He-Sea point signifies the confluence of rivers in the sea, where the meridian qi is the most flourishing. In addition, each of the six fu organs has another He-Sea point in the three yang meridians of the foot, known as the Lower He-Sea point. The Lower He-Sea points are mostly employed to treat the disorders of the six fu organs in clinic.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"The Lower He-Sea Point of the Gallbladder","Lower He-Sea Point of the Gallbladder","Lower He-Sea Point","The Lower He-Sea Point of the the Gallbladder meridian. One of the five Shu Points, the He-Sea point signifies the confluence of rivers in the sea, where the meridian qi is the most flourishing. In addition, each of the six fu organs has another He-Sea point in the three yang meridians of the foot, known as the Lower He-Sea point. The Lower He-Sea points are mostly employed to treat the disorders of the six fu organs in clinic.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Xi-Cleft Point","Xi-Cleft Point","Special Point on the Limbs","The Xi-Cleft Point is the site where the qi and blood of the meridian are deeply converged. Each of the twelve main meridians and the four extra meridians (Yin Heel Vessel, Yang Heel Vessel, Yin Link Vessel and Yang Link Vessel) has a Xi-Cleft Point on the limbs, amounting to sixteen in all. The Xi-Cleft Point is used to treat acute disorders in the area supplied by its pertaining meridian and those of its pertaining zang or fu organ.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Xi-Cleft Point of the Yin Heel Vessel","Xi-Cleft Point of the Yin Heel Vessel","Xi-Cleft Point","The Xi-Cleft Point of the Yin Heel Vessel (an extra meridian). The Xi-Cleft Point is the site where the qi and blood of the meridian are deeply converged. The Xi-Cleft Point is used to treat acute disorders in the area supplied by its pertaining meridian and those of its pertaining zang or fu organ.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Xi-Cleft Point of the Yang Link Vessel","Xi-Cleft Point of the Yang Link Vessel","Xi-Cleft Point","The Xi-Cleft Point of the Yang Link Vessel (an extra meridian). The Xi-Cleft Point is the site where the qi and blood of the meridian are deeply converged. The Xi-Cleft Point is used to treat acute disorders in the area supplied by its pertaining meridian and those of its pertaining zang or fu organ.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Xi-Cleft Point of the Yin Link Vessel","Xi-Cleft Point of the Yin Link Vessel","Xi-Cleft Point","The Xi-Cleft Point of the Yin Link Vessel (an extra meridian). The Xi-Cleft Point is the site where the qi and blood of the meridian are deeply converged. The Xi-Cleft Point is used to treat acute disorders in the area supplied by its pertaining meridian and those of its pertaining zang or fu organ.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Xi-Cleft Point of the Yang Heel Vessel","Xi-Cleft Point of the Yang Heel Vessel","Xi-Cleft Point","The Xi-Cleft Point of the Yang Heel Vessel (an extra meridian). The Xi-Cleft Point is the site where the qi and blood of the meridian are deeply converged. The Xi-Cleft Point is used to treat acute disorders in the area supplied by its pertaining meridian and those of its pertaining zang or fu organ.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Luo-Connecting Point","Luo-Connecting Point","Special Point on the Limbs","Each of twelve main meridians has, on the limbs, a Luo-Connecting Point to link its exteriorly-interiorly related meridian. Each of the Governor and Conception vessels, and the Major Collateral of the spleen has its Luo-Connecting Point on the trunk. They are termed ""the Fifteen Luo-Connecting Points"". A Luo-Connecting Point is used to treat disorders involving the two exteriorly-interiorly related meridians and those in the area supplied by the two meridians.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Major Luo-Connecting Point","Major Luo-Connecting Point","Luo-Connecting Point","The Major Luo-Connecting Point is a Luo-Connecting point. Each of twelve main meridians has, on the limbs, a Luo-Connecting Point to link its exteriorly-interiorly related meridian. Each of the Governor and Conception vessels, and the Major Collateral of the spleen has its Luo-Connecting Point on the trunk. A Luo-Connecting Point is used to treat disorders involving the two exteriorly-interiorly related meridians and those in the area supplied by the two meridians.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Major Luo-Connecting Point of the Spleen","Major Luo-Connecting Point of the Spleen","Major Luo-Connecting Point","The Major Luo-Connecting Point of the Spleen is a Major Luo-Connecting Point. Dabao (SP 21) is the Major Luo-Connecting Point of the Spleen. Each of twelve main meridians has, on the limbs, a Luo-Connecting Point to link its exteriorly-interiorly related meridian. Each of the Governor and Conception vessels, and the Major Collateral of the spleen has its Luo-Connecting Point on the trunk. A Luo-Connecting Point is used to treat disorders involving the two exteriorly-interiorly related meridians and those in the area supplied by the two meridians.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Jing-River Point","Jing-River Point","Shu Point","One of the five Shu Points, the Jing-River point is where the meridian qi is pouring abundantly.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Shu-Stream Point","Shu-Stream Point","Shu Point","One of the five Shu Points, the Shu-Stream point is where the meridian qi flourishes. In the yin meridians, the Yuan-Primary Points overlap with the Shu-Stream points of the five Shu Points. Each yang meridian, however, has its Yuan-Primary Point other than the Shu-Stream Point.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Yuan-Primary Point","Yuan-Primary Point","Special Point on the Limbs","Each of the twelve main meridians has a Yuan-Primary Point, which is located on the limbs. The Chinese character (Yuan) means primary qi in this context. The chapter ""The 66th Medical Problem"" in Classic of Medical Problems describes the relation between the Yuan-Primary Points and Yuan-Primary Qi. The Yuan-Primary Qi, originating below the umbilicus and between the kidneys, is dispersed to the zang-fu organs and further to the limbs via Triple Energizer. The sites where the Yuan-Primary Qi is retained are Yuan-Primary Points, which are used to treat disorders of the zang-fu organs. In the yin meridians, the Yuan-Primary Poims overlap with the Shu-Stream Points of the Five Shu Points. Each yang meridian, however, has its Yuan-Primary Point other than the Shu-Stream Point.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Ying-Spring Point","Ying-Spring Point","Shu Point","One of the five Shu Points, the Ying-Spring point is where the meridian qi starts to gush.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Jing-Well Point","Jing-Well Point","Shu Point","One of the five Shu Points, the Jing-Well point is situated in the place where the meridian qi starts to bubble.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Influential Point","Influential Point","TARA:Special_Point","Represents one of the Eight lnfluential Points. The Eight Influential Points refer to the specific points which have particular effects in treatment of disorders relating to the zang-fu organs, qi, blood, tendon, pulse and vessels, bone and marrow. Each of the Eight Influential Points overlaps the other point. It is said in Classic on Medical Problems, ""Zhongwan (CV 12) is the Influential Point of the fu organs; Zhangmen (LR 13) is the Influential Point of the zang organs; Yanglingquan (GB 34) is the Influential Point of tendons; Xuanzhong (GB 39) is the Influential Point of marrow; Geshu (BL 17) is the Influential Point of blood; Dazhu (BL 11) is the Influential Point of bone; Taiyuan (LU 9) is the Influential Point of pulse and vessels; and Tanzhong (CV 17) is the Influential Point of Qi.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. Ch. 16, General Introduction to Acupuncture Treatment, Page 392. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Influential Point of Vessels","Influential Point of Pulse and Vessels","Influential Point","One of the eight influential points, the Influential Point of Pulse and Vessels can be employed to treat disorders of vessels. Taiyuan (LU 9) is the Influential Point of Pulse and Vessels.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Influential Point of Bone","Influential Point of Bone","Influential Point","One of the eight influential points, the Influential Point of Bone can be employed to treat disorders of the bones. Dazhu (BL 11) is the Influential Point of bone.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Influential Point of Blood","Influential Point of Blood","Influential Point","One of the eight influential points, the Influential Point of Blood can be employed to treat disorders of blood. Geshu (BL 17) is the Influential Point of blood.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Influential Point of the Marrow","Influential Point of the Marrow","Influential Point","One of the eight influential points, the Influential Point of Marrow can be employed to treat disorders of the marrow. Xuanzhong (GB 39) is the Influential Point of marrow.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Influential Point of Tendon","Influential Point of Tendons","Influential Point","One of the eight influential points, the Influential Point of Tendons can be employed to treat disorders of tendons. Yanglingquan (GB 34) is the Influential Point of tendons.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Influential Point of Zang Organs","Influential Point of the Zang Organs","Influential Point","One of the eight influential points, the Influential Point of the Zang Organs can be employed to treat disorders of the Zang organs. Zhangmen (LR 13) is the Influential Point of the Zang organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Influential Point of the Fu Organs","Influential Point of the Fu Organs","Influential Point","One of the eight influential points, the Influential Point of the Fu Organs can be employed to treat disorders of the Fu organs. Zhongwan (CV 12) is the Influential Point of the Fu organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Influential Point of Qi","Influential Point of Qi","Influential Point","One of the eight influential points, the Influential Point of Qi can be employed to treat disorders of the Zang organs. Tanzhong (CV 17) is the Influential Point of Qi.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
