"Artcle-URI","Article-Title","Condition-Extracted-Western","Normalized-Condition-Western","Condition-Extracted-TCM","Normalized-Condition-TCM","Comment from TEAM-Core","MONDO-OR-HP-Term","Exact-OR-Synonym","MONDO-OR-HP-Term-URI","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD000009","Acupuncture for smoking cessation (Review)","Nicotine addiction/smoking dependence","Nicotine addiction/smoking dependence","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD000009.pub2","Acupuncture and related interventions for smoking cessation","Nicotine dependence or smoking addiction","Nicotine dependence or smoking addiction","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD000009.pub4","Acupuncture and related interventions for smoking cessation","Nicotine dependence/smoking addiction","Nicotine dependence/smoking addiction","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD001139.pub4","Interventions for preventing and treating low-back and pelvic pain during pregnancy","Low-back pain and pelvic pain during pregnancy","Low-back pain and pelvic pain during pregnancy","Not specified (the paper does not mention TCM terminology or conditions)","Not specified (the paper does not mention TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD001139.pub4","Interventions for preventing and treating low-back and pelvic pain during pregnancy (Review)","Low-back pain (LBP) and pelvic pain (PP)","Low-back pain (LBP) and pelvic pain (PP)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD001218","Acupuncture for idiopathic headache","Idiopathic headache","Idiopathic headache","Not specified (the paper does not provide TCM terminology for the conditions)","Not specified (the paper does not provide TCM terminology for the conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD001218.pub2","Acupuncture for migraine prophylaxis","Migraine","Migraine","Not specified (the paper does not provide TCM terminology or conditions)","Not specified (the paper does not provide TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD001218.pub3","Acupuncture for the prevention of episodic migraine (Review)","Episodic migraine","Episodic migraine","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD001351","Acupuncture for low-back pain","Non-specific low back pain","Non-specific low back pain","Not specified (the paper does not provide a TCM-specific term for the condition)","Not specified (the paper does not provide a TCM-specific term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD001977.pub2","Acupuncture for peripheral joint osteoarthritis","Osteoarthritis (OA) of peripheral joints","Osteoarthritis (OA) of peripheral joints","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD002914.pub2","Acupuncture for Bell's Palsy","Bell's palsy","Bell's palsy","deviated mouth","deviated mouth","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD002914.pub3","Acupuncture for Bell's palsy (Review)","Bell's palsy or idiopathic facial palsy","Bell's palsy or idiopathic facial palsy","deviated mouth","deviated mouth","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD002914.pub5","Acupuncture for Bell's palsy","Bell's palsy or idiopathic facial palsy","Bell's palsy or idiopathic facial palsy","deviated mouth","deviated mouth","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD002962.pub2","Acupuncture for Induction of Labour","Induction of labour","Induction of labour","Not specified (the paper does not provide a specific TCM term for the condition being studied)","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD002962.pub3","Acupuncture for induction of labour","Not specified (the paper focuses on labor induction as a procedure rather than a specific disease or condition)","Induction of labour","Not specified (the paper does not provide a specific TCM disease or condition)","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD002962.pub4","Cochrane Database of Systematic Reviews Acupuncture or acupressure for induction of labour (Review)","Induction of labour","Induction of labour","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD003281.pub2","Stimulation of the wrist acupuncture point P6 for preventing postoperative nausea and vomiting","Postoperative nausea and vomiting (PONV)","Postoperative nausea and vomiting (PONV)","Not specified (the paper does not explicitly translate PONV into TCM terminology)","Not specified (the paper does not explicitly translate PONV into TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD003281.pub3","Stimulation of the wrist acupuncture point P6 for preventing postoperative nausea and vomiting","Postoperative nausea and vomiting (PONV)","Postoperative nausea and vomiting (PONV)","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD003281.pub4","Stimulation of the wrist acupuncture point PC6 for preventing postoperative nausea and vomiting","Postoperative nausea and vomiting (PONV)","Postoperative nausea and vomiting (PONV)","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD003527","Acupuncture for lateral elbow pain","Lateral elbow pain (Tennis elbow)","Lateral elbow pain (Tennis elbow)","Not specified (the paper does not mention Traditional Chinese Medicine terminology)","Not specified (the paper does not mention Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD003788.pub2","Acupuncture and electroacupuncture for the treatment of rheumatoid arthritis","Rheumatoid Arthritis (RA)","Rheumatoid Arthritis (RA)","Not specified","Not specified","done: TCM","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD003928.pub3","Cephalic version by moxibustion for breech presentation","Breech presentation","Breech presentation","Not specified (the paper does not explicitly mention a TCM disease or condition term for breech presentation)","Not specified (the paper does not explicitly mention a TCM disease or condition term for breech presentation)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD004046.pub3","Acupuncture for depression (Review)","Depression","Depression","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.cd004046.pub4","Cochrane Database of Systematic Reviews Acupuncture for depression (Review)","Depression","Depression","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD004131.pub2","Acupuncture for stroke rehabilitation","Stroke (ischemic and hemorrhagic) in the subacute and chronic stages","Stroke (ischemic and hemorrhagic) in the subacute and chronic stages","Not specified (the paper does not explicitly translate the condition into TCM terminology)","Not specified (the paper does not explicitly translate the condition into TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD004462.pub3","Treatment of urinary incontinence after stroke in adults","Urinary incontinence after stroke","Urinary incontinence after stroke","Not specified (the paper does not mention TCM terminology or conditions)","Not specified (the paper does not mention TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD004870.pub4","Acupuncture for neck disorders","Neck pain","Neck pain","Not specified (the paper does not provide TCM terminology for the conditions being studied)","Not specified (the paper does not provide TCM terminology for the conditions being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD004987.pub2","Acupuncture for vascular dementia","Vascular dementia","Vascular dementia","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD005062.pub3","Acupuncture for Epilepsy (Review)","Epilepsy","Epilepsy","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD005062.pub4","[Intervention Review] Acupuncture for epilepsy","Epilepsy","Epilepsy","Not specified (the paper does not provide a TCM term for epilepsy)","Not specified (the paper does not provide a TCM term for epilepsy)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD005111.pub3","Acupuncture for treatment of irritable bowel syndrome","Irritable bowel syndrome (IBS)","Irritable bowel syndrome (IBS)","Liver-qi stagnation with spleen deficiency","Liver-qi stagnation with spleen deficiency","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD005192.pub2","Auricular acupuncture for cocaine dependence","Cocaine dependence","Cocaine dependence","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD005288.pub2","Cochrane Database of Systematic Reviews Chinese herbal medicine for primary dysmenorrhoea (Review)","Primary dysmenorrhoea (painful menstrual cramps of unknown cause)","Primary dysmenorrhoea (painful menstrual cramps of unknown cause)","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD005319","Acupuncture for shoulder pain (Review)","Shoulder pain, specifically adhesive capsulitis (frozen shoulder), rotator cuff disease, and osteoarthritis.","Shoulder pain, specifically adhesive capsulitis (frozen shoulder), rotator cuff disease, and osteoarthritis.","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD005472.pub2","Acupuncture for insomnia (Review)","Insomnia","Insomnia","Not specified (the paper does not explicitly translate insomnia into TCM terminology)","Not specified (the paper does not explicitly translate insomnia into TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD005472.pub3.","Acupuncture for insomnia (Review)","Insomnia","Insomnia","Not specified (the paper does not explicitly state the primary medical condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly state the primary medical condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD006030.pub4","Acupuncture for glaucoma","Glaucoma","Glaucoma","Not specified (the paper does not provide a TCM term or description for glaucoma)","Not specified (the paper does not provide a TCM term or description for glaucoma)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD006076.pub2","Acupuncture for dysphagia in acute stroke","Dysphagia after acute stroke","Dysphagia after acute stroke","Radix lingua disease after wind stroke, yinfei, and larynx obstruction","Radix lingua disease after wind stroke, yinfei, and larynx obstruction","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD006457.pub2","Acupuncture for restless legs syndrome","Restless legs syndrome (RLS)","Restless legs syndrome (RLS)","Not specified (the paper does not provide a specific TCM term for RLS)","Not specified (the paper does not provide a specific TCM term for RLS)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD006920.pub2","Acupuncture and assisted conception","Subfertility","Subfertility","Not specified (the paper does not explicitly state a primary TCM disease or condition)","Not specified (the paper does not explicitly state a primary TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD006920.pub3","Acupuncture and assisted reproductive technology","Subfertility","Subfertility","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD006946.pub3","Treatments for breast engorgement during lactation","Breast engorgement","Breast engorgement","Not specified (the paper does not provide TCM terminology or equivalent conditions for breast engorgement)","Not specified (the paper does not provide TCM terminology or equivalent conditions for breast engorgement)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.cd007070.pub2","Acupuncture for treating fibromyalgia","Fibromyalgia","Fibromyalgia","Not specified (the paper does not provide a TCM equivalent for fibromyalgia)","Not specified (the paper does not provide a TCM equivalent for fibromyalgia)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007221.pub2","Acupuncture for uterine fibroids (Review)","Uterine fibroids","Uterine fibroids","Not specified (the paper does not provide a specific TCM term for uterine fibroids)","Not specified (the paper does not provide a specific TCM term for uterine fibroids)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007410.pub2","Cochrane Database of Systematic Reviews Acupuncture for menopausal hot flushes (Review)","Hot flushes (menopausal vasomotor symptom)","Hot flushes (menopausal vasomotor symptom)","Deficient heat (a deficiency in Yin energy)","Deficient heat (a deficiency in Yin energy)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007587","Acupuncture for tension-type headache","Tension-type headache","Tension-type headache","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007587.pub2","Acupuncture for the prevention of tension-type headache (Review)","Tension-type headache","Tension-type headache","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007689.pub2","Acupuncture for polycystic ovarian syndrome (Review)","Polycystic ovarian syndrome (PCOS)","Polycystic ovarian syndrome (PCOS)","Kidney deficiency","Kidney deficiency","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007689.pub3","Cochrane Database of Systematic Reviews Acupuncture for polycystic ovarian syndrome (Review)","Polycystic ovarian syndrome (PCOS)","Polycystic ovarian syndrome (PCOS)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007689.pub3","Acupuncture for polycystic ovarian syndrome (Review)","Polycystic ovarian syndrome (PCOS)","Polycystic ovarian syndrome (PCOS)","Kidney deficiency","Kidney deficiency","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007689.pub4.","Acupuncture for polycystic ovarian syndrome (Review)","Polycystic ovarian syndrome (PCOS)","Polycystic ovarian syndrome (PCOS)","Kidney deficiency","Kidney deficiency","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007700.pub2","Acupuncture for acute management and rehabilitation of traumatic brain injury","Traumatic Brain Injury (TBI)","Traumatic Brain Injury (TBI)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007753.pub3","Cochrane Database of Systematic Reviews Acupuncture for cancer pain in adults (Review)","Cancer-related pain","Cancer-related pain","Not specified (the paper does not explicitly mention TCM terminology for the conditions being studied)","Not specified (the paper does not explicitly mention TCM terminology for the conditions being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007839.pub2","Acupuncture for Attention Deficit Hyperactivity Disorder (ADHD) in children and adolescents (Review)","Attention Deficit Hyperactivity Disorder (ADHD)","Attention Deficit Hyperactivity Disorder (ADHD)","ADHD is associated with congenital insufficiency, postnatal loss of nourishment, affect-mind dissatisfaction, and trauma, interpreted through yin-yang disharmony theory.","ADHD is associated with congenital insufficiency, postnatal loss of nourishment, affect-mind dissatisfaction, and trauma, interpreted through yin-yang disharmony theory.","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007842.pub2","Acupuncture for slowing the progression of myopia in children and adolescents","Myopia (near-sightedness or short-sightedness)","Myopia (near-sightedness or short-sightedness)","Not specified (the paper does not explicitly mention a TCM disease or condition related to myopia)","Not specified (the paper does not explicitly mention a TCM disease or condition related to myopia)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007849.pub2","Acupuncture for autism spectrum disorders (ASD)","Autism Spectrum Disorders (ASD)","Autism Spectrum Disorders (ASD)","Derangement and insufficiency of brain and mind","Derangement and insufficiency of brain and mind","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.cd007854.pub3","Acupuncture for dysmenorrhoea","Primary dysmenorrhoea (period pain)","Primary dysmenorrhoea (period pain)","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007968.pub2","Acupuncture for hypoxic ischemic encephalopathy in neonates","Hypoxic ischemic encephalopathy (HIE)","Hypoxic ischemic encephalopathy (HIE)","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD008400.pub3","[Intervention Review] Acupuncture for mumps in children","Mumps","Mumps","Mumps is caused by 'wind warmth evil' (epidemic heat) and 'pyretic toxicity' accumulated in the Shaoyang and Yangming meridians.","Mumps is caused by 'wind warmth evil' (epidemic heat) and 'pyretic toxicity' accumulated in the Shaoyang and Yangming meridians.","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD008487.pub2","Acupuncture for functional dyspepsia","Functional dyspepsia (FD)","Functional dyspepsia (FD)","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD008642.pub2","Chinese herbal medicine for atopic eczema","Atopic eczema","Atopic eczema","Not specified (the paper does not explicitly mention the disease or condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the disease or condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD009023.pub2","Chinese herbal medicine for menopausal symptoms","Menopausal symptoms","Menopausal symptoms","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD009065.pub2","Acupuncture for treating acute ankle sprains in adults (Review)","Acute ankle sprains","Acute ankle sprains","Not specified (the paper does not provide the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not provide the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.cd009232","Acupuncture or acupressure for pain management in labour","Pain associated with labor","Pain associated with labor","Not specified (the paper focuses on labor pain as a symptom rather than a specific TCM disease or condition)","Not specified (the paper focuses on labor pain as a symptom rather than a specific TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD009234.pub2","Cochrane Database of Systematic Reviews Pain management for women in labour: an overview of systematic reviews (Review)","Pain in labour","Pain in labour","Not specified (the paper focuses on pain management during labor, which is a symptom rather than a TCM disease or condition)","Not specified (the paper focuses on pain management during labor, which is a symptom rather than a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD009440.pub2","Acupuncture and related interventions for symptoms of chronic kidney disease (Review)","Chronic Kidney Disease (CKD)","Chronic Kidney Disease (CKD)","Not specified (the paper does not provide a TCM equivalent for CKD)","Not specified (the paper does not provide a TCM equivalent for CKD)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.cd009603.pub3","Cochrane Database of Systematic Reviews Interventions for the management of dry mouth: nonpharmacological interventions (Review)","Xerostomia (dry mouth)","Xerostomia (dry mouth)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
