"Acupoint","WHO Location","Identified Locations","Identified Locations URI","Relation","Reference",""
"LU 3","","Biceps Brachii Muscle","http://purl.obolibrary.org/obo/UBERON_0001507","TARA:locatedInRelationTo","",""
"LU 3","","Anterior Axillary Fold","http://uri.interlex.org/base/ilx_0795287","TARA:locatedInRelationTo","",""
"LU 4","On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 4 B-cun inferior to the anterior axillary fold.","Arm","http://purl.obolibrary.org/obo/UBERON_0001460","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 27",""
"LU 4","","Biceps Brachii Muscle","http://purl.obolibrary.org/obo/UBERON_0001507","TARA:locatedInRelationTo","",""
"LU 4","","Anterior Axillary Fold","http://uri.interlex.org/base/ilx_0795287","TARA:locatedInRelationTo","",""
"LU 5","On the anterior aspect of the elbow, at the cubital crease, in the depression lateral to the biceps brachii tendon. Note: With the elbow flexed, LU5 is located at the cubital crease, between LI11 and PC3, separated from PC3 by the biceps brachii tendon.","Elbow","http://purl.obolibrary.org/obo/UBERON_0001461","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 28",""
"LU 5","","Biceps Brachii Tendon","http://purl.obolibrary.org/obo/UBERON_0008188","TARA:locatedInRelationTo","",""
"LU 5","","Cubital Crease","http://uri.interlex.org/base/ilx_0795332","TARA:locatedInRelationTo","",""
"LU 6","On the anterolateral aspect of the forearm, on the line connecting LU5 with LU9, 7 B- cun superior to the palmar wrist crease. Note: LU6 is 5 B-cun inferior to LU5, 1 B-cun superior to the midpoint of the line connecting LU5 with LU9.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 28",""
"LU 6","","Wrist","http://purl.obolibrary.org/obo/UBERON_0004452","TARA:locatedInRelationTo","",""
"LU 6","","Palmar Wrist Crease","http://uri.interlex.org/base/ilx_0795334","TARA:locatedInRelationTo","",""
"LU 7","On the radial aspect of the forearm, between the tendons of the abductor pollicis longus and the extensor pollicis brevis muscles, in the groove for the abductor pollicis longus tendon, 1.5 B-cun superior to the palmar wrist crease.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 29",""
"LU 7","","Abductor Pollicis Longus Tendon","http://uri.interlex.org/base/ilx_0795335","TARA:locatedInRelationTo","",""
"LU 7","","Extensor Pollicis Brevis Tendon","http://uri.interlex.org/base/ilx_0795336","TARA:locatedInRelationTo","",""
"LU 7","","Palmar Wrist Crease","http://uri.interlex.org/base/ilx_0795334","TARA:locatedInRelationTo","",""
"LU 8","On the anterolateral aspect of the forearm, between the radial styloid process and the radial artery, 1 B-cun superior to the palmar wrist crease. Note: 1 B-cun superior to LU9.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 29",""
"LU 8","","Radial Styloid Process","http://purl.obolibrary.org/obo/UBERON_7500078","TARA:locatedInRelationTo","",""
"LU 8","","Radial Artery","http://purl.obolibrary.org/obo/UBERON_0001404","TARA:locatedInRelationTo","",""
"LU 8","","Palmar Wrist Crease","http://uri.interlex.org/base/ilx_0795334","TARA:locatedInRelationTo","",""
"LU 9","On the anterolateral aspect of the wrist, between the radial styloid process and the scaphoid bone, in the depression ulnar to the abductor pollicis longus tendon. Note: On the radial side of the palmar wrist crease, over the radial artery.","Wrist","http://purl.obolibrary.org/obo/UBERON_0004452","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 30",""
"LU 9","","Radial Styloid Process","http://purl.obolibrary.org/obo/UBERON_7500078","TARA:locatedInRelationTo","",""
"LU 9","","Scaphoid Bone","http://purl.obolibrary.org/obo/UBERON_0001427","TARA:locatedInRelationTo","",""
"LU 9","","Abductor Pollicis Longus Tendon","http://uri.interlex.org/base/ilx_0795335","TARA:locatedInRelationTo","",""
"LU 9","","Palmar Wrist Crease","http://uri.interlex.org/base/ilx_0795334","TARA:locatedInRelationTo","",""
"LU 9","","Radial Artery","http://purl.obolibrary.org/obo/UBERON_0001404","TARA:locatedInRelationTo","",""
"LU 10","On the palm, radial to the midpoint of the first metacarpal bone, at the border between the red and white flesh.","Palm","http://purl.obolibrary.org/obo/UBERON_0008878","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 30",""
"LU 10","","First Metacarpal Bone","http://purl.obolibrary.org/obo/UBERON_0003645","TARA:locatedInRelationTo","",""
"LU 11","On the thumb, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the thumb nail, at the intersection of the vertical line of the radial border and the horizontal line of the base of the thumb nail.","Thumb","http://purl.obolibrary.org/obo/UBERON_0001463","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 31",""
"LU 11","","Distal Phalanx","http://purl.obolibrary.org/obo/UBERON_0004300","TARA:locatedInRelationTo","",""
"LU 11","","Thumb Nail","http://purl.obolibrary.org/obo/UBERON_0011273","TARA:locatedInRelationTo","",""
"LI 1","On the index finger, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the index fingernail, at the intersection of the vertical line of the radial border of the fingernail and the horizontal line of the base of the index fingernail.","Index Finger","http://purl.obolibrary.org/obo/UBERON_0003622","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 34",""
"LI 1","","Distal Phalanx","http://purl.obolibrary.org/obo/UBERON_0004300","TARA:locatedInRelationTo","",""
"LI 1","","Fingernail","http://purl.obolibrary.org/obo/UBERON_0009565","TARA:locatedInRelationTo","",""
"LI 2","On the index finger, in the depression distal to the radial side of the second metacarpophalangeal joint, at the border between the red and white flesh.","Index Finger","http://purl.obolibrary.org/obo/UBERON_0003622","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 34",""
"LI 2","","Metacarpophalangeal Joint","http://purl.obolibrary.org/obo/UBERON_0003695","TARA:locatedInRelationTo","",""
"LI 3","On the dorsum of the hand, in the depression radial and proximal to the second metacarpophalangeal joint.","Dorsum Of The Hand","http://uri.interlex.org/base/ilx_0794954","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 35",""
"LI 3","","Metacarpophalangeal Joint","http://purl.obolibrary.org/obo/UBERON_0003695","TARA:locatedInRelationTo","",""
"LI 4","On the dorsum of the hand, radial to the midpoint of the second metacarpal bone.","Dorsum Of The Hand","http://uri.interlex.org/base/ilx_0794954","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 35",""
"LI 4","","Second Metacarpal Bone","http://purl.obolibrary.org/obo/UBERON_0003646","TARA:locatedInRelationTo","",""
"LI 5","On the posterolateral aspect of the wrist, at the radial side of the dorsal wrist crease, distal to the radial styloid process, in the depression of the anatomical snuffbox. Note : The depression of the anatomical snuffbox is formed when the thumb is fully abducted and extended between the tendons of the extensor pollicis longus and the extensor pollicis brevis.","Wrist","http://purl.obolibrary.org/obo/UBERON_0004452","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 36",""
"LI 5","","Dorsal Wrist Crease","http://uri.interlex.org/base/ilx_0795333","TARA:locatedInRelationTo","",""
"LI 5","","Radial Styloid Process","http://purl.obolibrary.org/obo/UBERON_7500078","TARA:locatedInRelationTo","",""
"LI 5","","Radial Fossa","http://uri.interlex.org/base/ilx_0795289","TARA:locatedInRelationTo","",""
"LI 5","","Extensor Pollicis Longus Tendon","http://uri.interlex.org/base/ilx_0795337","TARA:locatedInRelationTo","",""
"LI 5","","Extensor Pollicis Brevis Tendon","http://uri.interlex.org/base/ilx_0795336","TARA:locatedInRelationTo","",""
"LI 6","On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 3 B- cun superior to the dorsal wrist crease. Note: LI6 is located at the junction of the upper three fourths and the lower one fourth of the line connecting LI5 with LI11.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 36",""
"LI 6","","Dorsal Wrist Crease","http://uri.interlex.org/base/ilx_0795333","TARA:locatedInRelationTo","",""
"LI 7","On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 5 B- cun superior to the dorsal wrist crease.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 37",""
"LI 7","","Dorsal Wrist Crease","http://uri.interlex.org/base/ilx_0795333","TARA:locatedInRelationTo","",""
"LI 8","On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 4 B- cun inferior to the cubital crease. Note: LI8 is located at the junction of the upper one third and lower two thirds of the line connecting LI5 with LI11, 1 B-cun inferior to LI9.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 37",""
"LI 8","","Cubital Crease","http://uri.interlex.org/base/ilx_0795332","TARA:locatedInRelationTo","",""
"LI 9","On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 3 B- cun inferior to the cubital crease.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 38",""
"LI 9","","Cubital Crease","http://uri.interlex.org/base/ilx_0795332","TARA:locatedInRelationTo","",""
"LI 10","On the posterolateral aspect of the forearm, on the line connecting LI5 with LI11, 2 B- cun inferior to the cubital crease.","Forearm","http://purl.obolibrary.org/obo/UBERON_0002386","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 38",""
"LI 10","","Cubital Crease","http://uri.interlex.org/base/ilx_0795332","TARA:locatedInRelationTo","",""
"LI 11","On the lateral aspect of the elbow, at the midpoint of the line connecting LU5 with the lateral epicondyle of the humerus. Note: When the elbow is fully flexed, LI11 is located in the depression on the lateral end of the cubital crease.","Elbow","http://purl.obolibrary.org/obo/UBERON_0001461","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 39",""
"LI 11","","Lateral Epicondyle","http://purl.obolibrary.org/obo/UBERON_0006807","TARA:locatedInRelationTo","",""
"LI 11","","Cubital Crease","http://uri.interlex.org/base/ilx_0795332","TARA:locatedInRelationTo","",""
"LI 12","On the posterolateral aspect of the elbow, superior to the lateral epicondyle of the humerus, anterior to the lateral supraepicondylar ridge.","Elbow","http://purl.obolibrary.org/obo/UBERON_0001461","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 39",""
"LI 12","","Lateral Epicondyle","http://purl.obolibrary.org/obo/UBERON_0006807","TARA:locatedInRelationTo","",""
"LI 12","","Lateral Supraepicondylar Ridge","http://uri.interlex.org/base/ilx_0795338","TARA:locatedInRelationTo","",""
"LI 13","On the lateral aspect of the arm, on the line connecting LI11 with LI15, 3 B-cun supe- rior to the cubital crease.","Arm","http://purl.obolibrary.org/obo/UBERON_0001460","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 40",""
"LI 13","","Cubital Crease","http://uri.interlex.org/base/ilx_0795332","TARA:locatedInRelationTo","",""
"LI 14","On the lateral aspect of the arm, just anterior to the border of the deltoid muscle, 7 B-cun superior to LI11.","Arm","http://purl.obolibrary.org/obo/UBERON_0001460","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 40",""
"LI 14","","Deltoid Muscle","http://purl.obolibrary.org/obo/UBERON_0001476","TARA:locatedInRelationTo","",""
"LI 15","On the shoulder girdle, in the depression between the anterior end of lateral border of the acromion and the greater tubercle of the humerus. Note: When the arm is abducted, two depressions appear, anterior and posterior to the acromion. LI15 is located in the deeper depression anterior to the acromion. tE14 is located in the posterior depression.","Shoulder Girdle","http://purl.obolibrary.org/obo/UBERON_0001421","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 41",""
"LI 15","","Acromion","http://purl.obolibrary.org/obo/UBERON_0002497","TARA:locatedInRelationTo","",""
"LI 15","","Greater Tubercle Of The Humerus","http://purl.obolibrary.org/obo/UBERON_0011187","TARA:locatedInRelationTo","",""
"LI 15","","Arm","http://purl.obolibrary.org/obo/UBERON_0001460","TARA:locatedInRelationTo","",""
"LI 16","On the shoulder girdle, in the depression between the acromial end of the clavicle and the spine of the scapula. Note: In the depression between the two bones lateral to the suprascapular fossa.","Shoulder Girdle","http://purl.obolibrary.org/obo/UBERON_0001421","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 41",""
"LI 16","","Clavicle","http://purl.obolibrary.org/obo/UBERON_0001105","TARA:locatedInRelationTo","",""
"LI 16","","Scapula","http://purl.obolibrary.org/obo/UBERON_0006849","TARA:locatedInRelationTo","",""
"LI 16","","Suprascapular Fossa","http://purl.obolibrary.org/obo/UBERON_4200020","TARA:locatedInRelationTo","",""
"LI 17","On the anterior aspect of the neck, at the same level as the cricoid cartilage, just posterior to the border of the sternocleido- mastoid muscle. Note: Directly inferior to LI18, at the same level as St10.","Neck","http://purl.obolibrary.org/obo/UBERON_0000974","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 42",""
"LI 17","","Cricoid Cartilage","http://purl.obolibrary.org/obo/UBERON_0002375","TARA:locatedInRelationTo","",""
"LI 17","","Sternocleidomastoid Muscle","http://purl.obolibrary.org/obo/UBERON_0001128","TARA:locatedInRelationTo","",""
"LI 18","On the anterior aspect of the neck, at the same level as the superior border of the thyroid cartilage, between the anterior and posterior borders of the sternocleidomastoid muscle.","Neck","http://purl.obolibrary.org/obo/UBERON_0000974","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 42",""
"LI 18","","Thyroid Cartilage","http://purl.obolibrary.org/obo/UBERON_0001738","TARA:locatedInRelationTo","",""
"LI 18","","Sternocleidomastoid Muscle","http://purl.obolibrary.org/obo/UBERON_0001128","TARA:locatedInRelationTo","",""
"LI 19","On the face, at the same level as the midpoint of the philtrum, inferior to the lateral margin of the nostril. Note: 0.5 B-cun laterals to GV 26. Remarks: Alternative location for LI19 - On the face, at the same level as the junc- tion of the upper one third and lower two thirds of the philtrum, inferior to the lateral margin of the nostril.","Face","http://purl.obolibrary.org/obo/UBERON_0001456","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 43",""
"LI 19","","Philtrum","http://purl.obolibrary.org/obo/UBERON_0005402","TARA:locatedInRelationTo","",""
"LI 19","","Nostril","http://purl.obolibrary.org/obo/UBERON_0005928","TARA:locatedInRelationTo","",""
"LI 20","On the face, in the nasolabial sulcus, at the same level as the midpoint of lateral border of the ala of the nose. Remarks: Alternative location for LI20 - On the face, in the nasolabial sulcus, at the level of the inferior border of the ala of the nose.","Face","http://purl.obolibrary.org/obo/UBERON_0001456","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 43",""
"LI 20","","Ala Of Nose","http://purl.obolibrary.org/obo/UBERON_0006906","TARA:locatedInRelationTo","",""
"LI 20","","Nasolabial Sulcus","http://uri.interlex.org/base/ilx_0795290","TARA:locatedInRelationTo","",""
"ST 1","On the face, between the eyeball and the infraorbital margin, directly inferior to the pupil.","Face","http://purl.obolibrary.org/obo/UBERON_0001456","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 46",""
"ST 1","","Eyeball","http://purl.obolibrary.org/obo/UBERON_0010230","TARA:locatedInRelationTo","",""
"ST 1","","Infraorbital Margin","http://purl.obolibrary.org/obo/UBERON_0035848","TARA:locatedInRelationTo","",""
"ST 1","","Pupil","http://purl.obolibrary.org/obo/UBERON_0001771","TARA:locatedInRelationTo","",""
"ST 2","On the face, in the infraorbital foramen.","Face","http://purl.obolibrary.org/obo/UBERON_0001456","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 46",""
"ST 2","","Infraorbital Foramen","http://purl.obolibrary.org/obo/UBERON_0018407","TARA:locatedInRelationTo","",""
"ST 3","On the face, directly inferior to the pupil, at the same level as the inferior border of the ala of the nose. Note: When looking straight ahead, ST3 is located at the intersection of the vertical line of the pupil and the horizontal line of the inferior border of the ala of the nose.","Face","http://purl.obolibrary.org/obo/UBERON_0001456","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 47",""
"ST 3","","Pupil","http://purl.obolibrary.org/obo/UBERON_0001771","TARA:locatedInRelationTo","",""
"ST 3","","Ala Of Nose","http://purl.obolibrary.org/obo/UBERON_0006906","TARA:locatedInRelationTo","",""
"ST 4","On the face, 0.4 f-cun lateral to the angle of the mouth. Note: Lateral to the angle of the mouth, the point is located in the nasolabial sulcus or on the continuation of the nasolabial sulcus.","Face","http://purl.obolibrary.org/obo/UBERON_0001456","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 47",""
"ST 4","","Mouth","http://purl.obolibrary.org/obo/UBERON_0000165","TARA:locatedInRelationTo","",""
"ST 4","","Nasolabial Sulcus","http://uri.interlex.org/base/ilx_0795290","TARA:locatedInRelationTo","",""
"ST 5","On the face, anterior to the angle of the mandible, in the depression anterior to the masseter attachment, over the facial artery.","Face","http://purl.obolibrary.org/obo/UBERON_0001456","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 48",""
"ST 5","","Mandible","http://purl.obolibrary.org/obo/UBERON_0001684","TARA:locatedInRelationTo","",""
"ST 5","","Masseter","http://purl.obolibrary.org/obo/UBERON_0001597","TARA:locatedInRelationTo","",""
"ST 5","","Facial Artery","http://purl.obolibrary.org/obo/UBERON_0001612","TARA:locatedInRelationTo","",""
"ST 6","On the face, one fingerbreadth (middle finger) anterosuperior to the angle of the mandible. Note: On the bisector of the angle of the mandible. When the mouth is closed and the teeth are clenched, this point is located at the prominence of the masseter and in the depression felt when the clenched teeth are released.","Face","http://purl.obolibrary.org/obo/UBERON_0001456","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 48",""
"ST 6","","Middle Finger","http://purl.obolibrary.org/obo/UBERON_0003623","TARA:locatedInRelationTo","",""
"ST 6","","Mandible","http://purl.obolibrary.org/obo/UBERON_0001684","TARA:locatedInRelationTo","",""
"ST 6","","Masseter","http://purl.obolibrary.org/obo/UBERON_0001597","TARA:locatedInRelationTo","",""
"ST 7","On the face, in the depression between the midpoint of the inferior border of the zygomatic arch and the mandibular notch. Note: When the mouth is closed, ST7 is located at the depression inferior to the zygomatic arch, directly inferior to gB3.","Face","http://purl.obolibrary.org/obo/UBERON_0001456","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 49",""
"ST 7","","Zygomatic Arch","http://purl.obolibrary.org/obo/UBERON_0002500","TARA:locatedInRelationTo","",""
"ST 7","","Mandibular Notch","http://uri.interlex.org/base/ilx_0795291","TARA:locatedInRelationTo","",""
"ST 8","On the head, 0.5 B-cun directly superior to the anterior hairline at the corner of the forehead, 4.5 B-cun lateral to the anterior median line.","Head","http://purl.obolibrary.org/obo/UBERON_0000033","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 49",""
"ST 8","","Anterior Hairline","http://uri.interlex.org/base/ilx_0795292","TARA:locatedInRelationTo","",""
"ST 8","","Forehead","http://purl.obolibrary.org/obo/UBERON_0008200","TARA:locatedInRelationTo","",""
"ST 8","","Anterior Median Line","http://uri.interlex.org/base/ilx_0795285","TARA:locatedInRelationTo","",""
"ST 9","In the anterior region of the neck, at the same level as the superior border of the thyroid cartilage, anterior to the sternocleidomastoid muscle, over the common carotid artery. Note 1: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance. Note 2: ST9 is located at the same level as LI18, SI16 and the superior border of the thyroid cartilage. St9 is located anterior to the sternocleidomastoid muscle, and SI16, posterior to the sternocleidomastoid muscle and LI18, between the anterior and posterior borders of the sternocleidomastoid muscle.","Neck","http://purl.obolibrary.org/obo/UBERON_0000974","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 50",""
"ST 9","","Thyroid Cartilage","http://purl.obolibrary.org/obo/UBERON_0001738","TARA:locatedInRelationTo","",""
"ST 9","","Sternocleidomastoid Muscle","http://purl.obolibrary.org/obo/UBERON_0001128","TARA:locatedInRelationTo","",""
"ST 9","","Common Carotid Artery","http://purl.obolibrary.org/obo/UBERON_0010197","TARA:locatedInRelationTo","",""
"ST 9","","Head","http://purl.obolibrary.org/obo/UBERON_0000033","TARA:locatedInRelationTo","",""
"ST 10","In the anterior region of the neck, at the same level as the cricoid cartilage, just anterior to the border of the sternocleidomastoid muscle.","Neck","http://purl.obolibrary.org/obo/UBERON_0000974","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 50",""
"ST 10","","Cricoid Cartilage","http://purl.obolibrary.org/obo/UBERON_0002375","TARA:locatedInRelationTo","",""
"ST 10","","Sternocleidomastoid Muscle","http://purl.obolibrary.org/obo/UBERON_0001128","TARA:locatedInRelationTo","",""
"ST 11","In the anterior region of the neck, in the lesser supraclavicular fossa, superior to the sternal end of the clavicle, in the depression between the sternal and clavicular heads of the sternocleidomastoid muscle. Note 1: The sternocleidomastoid muscle is more distinct when the head is turned to the opposite side against resistance. Note 2: ST11 is located superior to the clavicle, inferior to St9.","Neck","http://purl.obolibrary.org/obo/UBERON_0000974","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 51",""
"ST 11","","Lesser Supraclavicular Fossa","http://uri.interlex.org/base/ilx_0795293","TARA:locatedInRelationTo","",""
"ST 11","","Clavicle","http://purl.obolibrary.org/obo/UBERON_0001105","TARA:locatedInRelationTo","",""
"ST 11","","Sternocleidomastoid Muscle","http://purl.obolibrary.org/obo/UBERON_0001128","TARA:locatedInRelationTo","",""
"ST 12","In the anterior region of the neck, in the greater supraclavicular fossa, 4 B-cun lateral to the anterior median line, in the depression superior to the clavicle.","Neck","http://purl.obolibrary.org/obo/UBERON_0000974","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 51",""
"ST 12","","Greater Supraclavicular Fossa","http://uri.interlex.org/base/ilx_0795294","TARA:locatedInRelationTo","",""
"ST 12","","Anterior Median Line","http://uri.interlex.org/base/ilx_0795285","TARA:locatedInRelationTo","",""
"ST 12","","Clavicle","http://purl.obolibrary.org/obo/UBERON_0001105","TARA:locatedInRelationTo","",""
"ST 13","In the anterior thoracic region, inferior to the clavicle, 4 B-cun lateral to the anterior median line.","Anterior Thoracic Region","http://purl.obolibrary.org/obo/UBERON_0016416","TARA:locatedOnTheSurfaceOf","WHO standard acupuncture point locations in the Western Pacific Region. World Health Organization. Regional Office for the Western Pacific, 2008. Page 52",""
"ST 13","","Clavicle","http://purl.obolibrary.org/obo/UBERON_0001105","TARA:locatedInRelationTo","",""
