Special Point,Superclass,Description,Reference
Influential Point of Bone,Influential Point,Dazhu (BL II) is the Influential Point of bone,"""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017587"
Influential Point of Blood,Influential Point,"The Eight Influential Points refer to the specific points which have particular effects in treatment of disorders relating to the zang-fu organs, qi, blood, tendon, pulse and vessels, bone and marrow. Each of the Eight Influential Points overlaps the other point. Geshu (BL17) is the Influential Point of blood.","""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017587"
Influential Point of the Marrow,Influential Point,"The Eight Influential Points refer to the specific points which have particular effects in treatment of disorders relating to the zang-fu organs, qi, blood, tendon, pulse and vessels, bone and marrow. Each of the Eight Influential Points overlaps the other point. Xuanzhong (GB 39) is the Influential Point of Marrow.","""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017587"
Influential Point of Tendon,Influential Point,"The Eight Influential Points refer to the specific points which have particular effects in treatment of disorders relating to the zang-fu organs, qi, blood, tendon, pulse and vessels, bone and marrow. Each of the Eight Influential Points overlaps the other point. Yanglingquan (GB 34) is the Influential Point of tendons.","""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017587"
Influential Point of Zang Organs,Influential Point,"The Eight Influential Points refer to the specific points which have particular effects in treatment of disorders relating to the zang-fu organs, qi, blood, tendon, pulse and vessels, bone and marrow. Each of the Eight Influential Points overlaps the other point. Zhangmen (LR 13) is the Influential Point of the zang organs.","""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017587"
Influential Point of the Fu Organs,Influential Point,"The Eight Influential Points refer to the specific points which have particular effects in treatment of disorders relating to the zang-fu organs, qi, blood, tendon, pulse and vessels, bone and marrow. Each of the Eight Influential Points overlaps the other point. Zhongwan (CV 12) is the Influential Point of the fu organs. Zhongwan (CV 12), the Influential Point of the fu organs, is selected to lower the qi of the fu organ.","""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017587"
Influential Point of Qi,Influential Point,"Tanzhong (CV 17), the influential point of qi, is able to regulate the flow of qi. Tanzhong (CV 17), the Influential Point of qi, is to bring qi down.","""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017587"
Back-Shu Point,Special Point on the Head and Trunk,"Back-Shu points are specific points on the back where the qi of the respective zang-fu organs is infused. It is stated in Chapter 51 of Miraculous Pivot that ""in the Back-Shu Points you are looking for the reactionary spots of tenderness and soreness, or the points on which pressure exerted relieves pain and discomforts of the patient"". Situated close to their respectively related zang-fu organs, the Back-Shu points present abnormal reactions to the dysfunction of their corresponding zang-fu organs. They are often used for disorders of the internal organs.","""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017587"
Back-Shu Point of the Liver,Back-Shu Point,,
Back-Shu Point of the Gallbladder,Back-Shu Point,,
Back-Shu Point of the Spleen,Back-Shu Point,,
Back-Shu Point of the Stomach,Back-Shu Point,,
Back-Shu Point of Triple Energizer,Back-Shu Point,,
Back-Shu Point of the Kidney,Back-Shu Point,,
Back-Shu Point of the Large Intestine,Back-Shu Point,,
Back-Shu Point of the Small Intestine,Back-Shu Point,,
Back-Shu Point of the Bladder,Back-Shu Point,,
Back-Shu Point of the Lung,Back-Shu Point,,
Back-Shu Point of the Pericardium,Back-Shu Point,,
Back-Shu Point of the Heart,Back-Shu Point,,
Confluent Point,Special Point on the Limbs,"Eight Confluent Points refer to the eight points on the limbs where the main meridians communicate with the eight extra meridians. They are Neiguan (PC 6). Gongsun (SP 4), Houxi (SJ 3), Shenmai (BL 62). Waiguan (TE 5), Zulinqi (GB 41 ), Lieque (LU 7) and Zhaohai (KI 6), which are respectively connected with the Yin Link Vessel. Thoroughfare Vessel, governor Vessel, Yang Heel Vessel. Yang Link Vessel, Belt Vessel, Conception Vessel and Yin Heel Vessel. The Eight Confluent Points are used to treat a variety of disorders of the corresponding eight extra meridians.","""Chinese Acupuncture and Moxibustion” (1999) ISBN-13: 978-7119017587"
